PMN (111) , 1.4.2019, 17:22
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.2946e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	  Cp' [F]	Tan(Delta)  	 Zs'' [Ohms]	 Eps''   	 Sig' [S/cm]	 Zs' [Ohms]	M Temp [K]
3.90625e+03	1.21676e+04	8.13144e-09	6.43088e-03	-5.01042e+03	7.82485e+01	1.70045e-07	3.22214e+01	3.28751e+02
2.44141e+03	1.14871e+04	7.67665e-09	1.18519e-03	-8.49196e+03	1.36144e+01	1.84913e-08	1.00646e+01	3.28785e+02
1.52588e+03	1.13252e+04	7.56849e-09	5.58318e-04	-1.37813e+04	6.32308e+00	5.36757e-09	7.69436e+00	3.28818e+02
9.53674e+02	1.13321e+04	7.57309e-09	-8.24902e-04	-2.20367e+04	-9.34787e+00	-4.95955e-09	-1.81781e+01	3.28853e+02
5.96046e+02	1.12910e+04	7.54564e-09	-1.92952e-04	-3.53870e+04	-2.17863e+00	-7.22424e-10	-6.82800e+00	3.28885e+02
3.72529e+02	1.12730e+04	7.53358e-09	1.51006e-04	-5.67099e+04	1.70229e+00	3.52796e-10	8.56355e+00	3.28917e+02
2.32831e+02	1.11582e+04	7.45685e-09	7.21482e-04	-9.16694e+04	8.05042e+00	1.04277e-09	6.61379e+01	3.28952e+02
1.45519e+02	1.11549e+04	7.45467e-09	8.96827e-04	-1.46714e+05	1.00040e+01	8.09886e-10	1.31577e+02	3.28984e+02
9.09495e+01	1.11506e+04	7.45176e-09	9.05457e-04	-2.34834e+05	1.00963e+01	5.10850e-10	2.12632e+02	3.29017e+02
5.68434e+01	1.11442e+04	7.44755e-09	8.35181e-04	-3.75947e+05	9.30746e+00	2.94334e-10	3.13983e+02	3.29079e+02
3.55271e+01	1.11302e+04	7.43816e-09	9.40623e-04	-6.02273e+05	1.04693e+01	2.06923e-10	5.66512e+02	3.29114e+02
2.22045e+01	1.11212e+04	7.43213e-09	7.47689e-04	-9.64420e+05	8.31518e+00	1.02717e-10	7.21087e+02	3.29148e+02
1.38778e+01	1.11172e+04	7.42945e-09	7.30567e-04	-1.54363e+06	8.12183e+00	6.27052e-11	1.12772e+03	3.29182e+02
8.67362e+00	1.11155e+04	7.42836e-09	1.09985e-03	-2.47017e+06	1.22255e+01	5.89923e-11	2.71682e+03	3.29244e+02
5.42101e+00	1.11168e+04	7.42922e-09	8.52860e-04	-3.95181e+06	9.48109e+00	2.85935e-11	3.37034e+03	3.29312e+02
3.38813e+00	1.10990e+04	7.41731e-09	1.74805e-03	-6.33303e+06	1.94017e+01	3.65703e-11	1.10705e+04	3.29374e+02
2.11758e+00	1.10899e+04	7.41120e-09	2.97054e-03	-1.01412e+07	3.29428e+01	3.88088e-11	3.01247e+04	3.29407e+02
1.32349e+00	1.10649e+04	7.39452e-09	5.17643e-04	-1.62626e+07	5.72767e+00	4.21723e-12	8.41821e+03	3.29487e+02
8.27181e-01	1.10564e+04	7.38882e-09	2.77295e-03	-2.60400e+07	3.06587e+01	1.41086e-11	7.22076e+04	3.29650e+02
5.16988e-01	1.10082e+04	7.35660e-09	1.60183e-03	-4.18467e+07	1.76332e+01	5.07155e-12	6.70314e+04	3.29849e+02
3.23117e-01	1.09770e+04	7.33576e-09	1.68915e-03	-6.71450e+07	1.85417e+01	3.33304e-12	1.13418e+05	3.30118e+02
2.01948e-01	1.08818e+04	7.27214e-09	1.41427e-03	-1.08372e+08	1.53898e+01	1.72903e-12	1.53267e+05	3.30651e+02
1.26218e-01	1.07925e+04	7.21246e-09	9.48219e-04	-1.74830e+08	1.02336e+01	7.18586e-13	1.65777e+05	3.31172e+02
1.00000e-01	1.06232e+04	7.09934e-09	1.40338e-03	-2.24182e+08	1.49084e+01	8.29391e-13	3.14613e+05	3.32206e+02
