PMN (111), 2.4.2019, 11:26
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=3.725e+02  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	 Zs'' [Ohms]	 Eps''   	  Cp' [F]	 Zs' [Ohms]	M Temp [K]
4.49992e+02	2.11182e+03	1.16855e-10	2.66994e-04	-3.02720e+05	5.63842e-01	1.41130e-09	8.08244e+01	4.49992e+02
4.49642e+02	2.12049e+03	7.46791e-11	1.69932e-04	-3.01482e+05	3.60338e-01	1.41709e-09	5.12313e+01	4.49642e+02
4.48452e+02	2.14996e+03	9.92586e-11	2.22766e-04	-2.97349e+05	4.78938e-01	1.43679e-09	6.62391e+01	4.48452e+02
4.47609e+02	2.16810e+03	1.18520e-10	2.63770e-04	-2.94862e+05	5.71879e-01	1.44891e-09	7.77755e+01	4.47609e+02
4.46802e+02	2.18749e+03	1.16466e-10	2.56901e-04	-2.92248e+05	5.61968e-01	1.46187e-09	7.50787e+01	4.46802e+02
4.45947e+02	2.20635e+03	1.41428e-10	3.09295e-04	-2.89750e+05	6.82412e-01	1.47447e-09	8.96184e+01	4.45947e+02
4.45094e+02	2.22546e+03	1.11392e-10	2.41516e-04	-2.87262e+05	5.37484e-01	1.48724e-09	6.93784e+01	4.45094e+02
4.44244e+02	2.24601e+03	1.03974e-10	2.23369e-04	-2.84633e+05	5.01691e-01	1.50098e-09	6.35783e+01	4.44244e+02
4.43425e+02	2.26527e+03	1.75609e-10	3.74057e-04	-2.82213e+05	8.47339e-01	1.51385e-09	1.05564e+02	4.43425e+02
4.42613e+02	2.28480e+03	8.90709e-11	1.88105e-04	-2.79802e+05	4.29780e-01	1.52690e-09	5.26319e+01	4.42613e+02
4.41701e+02	2.30529e+03	1.20522e-10	2.52261e-04	-2.77314e+05	5.81536e-01	1.54060e-09	6.99554e+01	4.41701e+02
4.40839e+02	2.32664e+03	9.25080e-11	1.91850e-04	-2.74770e+05	4.46365e-01	1.55486e-09	5.27145e+01	4.40839e+02
4.39874e+02	2.35084e+03	9.08853e-11	1.86544e-04	-2.71941e+05	4.38535e-01	1.57103e-09	5.07290e+01	4.39874e+02
4.39058e+02	2.37179e+03	1.53336e-10	3.11946e-04	-2.69539e+05	7.39869e-01	1.58503e-09	8.40815e+01	4.39058e+02
4.38312e+02	2.39029e+03	1.59608e-10	3.22192e-04	-2.67453e+05	7.70133e-01	1.59740e-09	8.61711e+01	4.38312e+02
4.37552e+02	2.41016e+03	7.55814e-11	1.51314e-04	-2.65247e+05	3.64691e-01	1.61068e-09	4.01356e+01	4.37552e+02
4.36765e+02	2.42989e+03	8.93391e-11	1.77405e-04	-2.63094e+05	4.31075e-01	1.62386e-09	4.66742e+01	4.36765e+02
4.35987e+02	2.45037e+03	1.35188e-10	2.66206e-04	-2.60895e+05	6.52302e-01	1.63755e-09	6.94518e+01	4.35987e+02
4.35269e+02	2.46946e+03	1.05823e-10	2.06771e-04	-2.58878e+05	5.10612e-01	1.65031e-09	5.35283e+01	4.35269e+02
4.34517e+02	2.48998e+03	6.94373e-11	1.34557e-04	-2.56745e+05	3.35045e-01	1.66402e-09	3.45469e+01	4.34517e+02
4.33698e+02	2.51213e+03	8.20680e-11	1.57631e-04	-2.54481e+05	3.95990e-01	1.67883e-09	4.01140e+01	4.33698e+02
4.32979e+02	2.53250e+03	1.30287e-10	2.48233e-04	-2.52434e+05	6.28652e-01	1.69244e-09	6.26625e+01	4.32979e+02
4.32215e+02	2.55409e+03	6.73128e-11	1.27166e-04	-2.50300e+05	3.24794e-01	1.70686e-09	3.18298e+01	4.32215e+02
4.31403e+02	2.57665e+03	9.65195e-11	1.80747e-04	-2.48109e+05	4.65721e-01	1.72194e-09	4.48448e+01	4.31403e+02
4.30669e+02	2.59762e+03	7.55938e-11	1.40417e-04	-2.46106e+05	3.64751e-01	1.73596e-09	3.45575e+01	4.30669e+02
4.29797e+02	2.62295e+03	7.29959e-11	1.34283e-04	-2.43729e+05	3.52216e-01	1.75288e-09	3.27286e+01	4.29797e+02
4.28997e+02	2.64718e+03	6.71484e-11	1.22395e-04	-2.41498e+05	3.24001e-01	1.76907e-09	2.95582e+01	4.28997e+02
4.28214e+02	2.67058e+03	8.78400e-11	1.58707e-04	-2.39382e+05	4.23841e-01	1.78471e-09	3.79917e+01	4.28214e+02
4.27430e+02	2.69425e+03	8.37269e-11	1.49947e-04	-2.37279e+05	4.03995e-01	1.80053e-09	3.55793e+01	4.27430e+02
4.26664e+02	2.71782e+03	9.16896e-11	1.62783e-04	-2.35221e+05	4.42416e-01	1.81628e-09	3.82902e+01	4.26664e+02
4.25885e+02	2.74218e+03	5.22565e-11	9.19508e-05	-2.33132e+05	2.52145e-01	1.83256e-09	2.14367e+01	4.25885e+02
4.25099e+02	2.76659e+03	8.93902e-11	1.55904e-04	-2.31075e+05	4.31321e-01	1.84887e-09	3.60254e+01	4.25099e+02
4.24282e+02	2.79237e+03	1.01804e-10	1.75915e-04	-2.28941e+05	4.91221e-01	1.86610e-09	4.02743e+01	4.24282e+02
4.23483e+02	2.81897e+03	5.38699e-11	9.22075e-05	-2.26781e+05	2.59930e-01	1.88388e-09	2.09109e+01	4.23483e+02
4.22674e+02	2.84573e+03	9.81968e-11	1.66500e-04	-2.24648e+05	4.73814e-01	1.90177e-09	3.74039e+01	4.22674e+02
4.21934e+02	2.87060e+03	1.14242e-10	1.92027e-04	-2.22702e+05	5.51234e-01	1.91839e-09	4.27648e+01	4.21934e+02
4.21139e+02	2.89780e+03	9.99100e-11	1.66361e-04	-2.20612e+05	4.82081e-01	1.93656e-09	3.67012e+01	4.21139e+02
4.20349e+02	2.92418e+03	1.14217e-10	1.88467e-04	-2.18622e+05	5.51112e-01	1.95419e-09	4.12031e+01	4.20349e+02
4.19578e+02	2.95092e+03	8.59339e-11	1.40514e-04	-2.16641e+05	4.14644e-01	1.97206e-09	3.04410e+01	4.19578e+02
4.18759e+02	2.98080e+03	6.10265e-11	9.87862e-05	-2.14469e+05	2.94462e-01	1.99203e-09	2.11866e+01	4.18759e+02
4.17946e+02	3.00920e+03	9.43070e-11	1.51218e-04	-2.12445e+05	4.55045e-01	2.01101e-09	3.21254e+01	4.17946e+02
4.17174e+02	3.03801e+03	8.60465e-11	1.36664e-04	-2.10430e+05	4.15187e-01	2.03026e-09	2.87582e+01	4.17174e+02
4.16418e+02	3.06483e+03	4.74712e-11	7.47368e-05	-2.08589e+05	2.29056e-01	2.04818e-09	1.55893e+01	4.16418e+02
4.15568e+02	3.09690e+03	9.13439e-11	1.42319e-04	-2.06429e+05	4.40748e-01	2.06962e-09	2.93787e+01	4.15568e+02
4.14826e+02	3.12492e+03	1.14967e-10	1.77519e-04	-2.04578e+05	5.54732e-01	2.08834e-09	3.63164e+01	4.14826e+02
4.14018e+02	3.15655e+03	1.62506e-10	2.48410e-04	-2.02528e+05	7.84117e-01	2.10948e-09	5.03099e+01	4.14018e+02
4.13223e+02	3.18670e+03	5.67011e-11	8.58539e-05	-2.00611e+05	2.73591e-01	2.12963e-09	1.72233e+01	4.13223e+02
4.12444e+02	3.21763e+03	3.27684e-11	4.91395e-05	-1.98683e+05	1.58112e-01	2.15030e-09	9.76320e+00	4.12444e+02
4.11659e+02	3.24942e+03	5.74260e-11	8.52735e-05	-1.96740e+05	2.77089e-01	2.17154e-09	1.67767e+01	4.11659e+02
4.10841e+02	3.28299e+03	2.01842e-11	2.96656e-05	-1.94728e+05	9.73917e-02	2.19397e-09	5.77672e+00	4.10841e+02
4.10055e+02	3.31559e+03	1.47313e-11	2.14384e-05	-1.92813e+05	7.10808e-02	2.21576e-09	4.13360e+00	4.10055e+02
4.09263e+02	3.34920e+03	7.78640e-12	1.12178e-05	-1.90878e+05	3.75705e-02	2.23822e-09	2.14123e+00	4.09263e+02
4.08478e+02	3.38163e+03	-4.70882e-11	-6.71887e-05	-1.89048e+05	-2.27208e-01	2.25990e-09	-1.27019e+01	4.08478e+02
4.07710e+02	3.41536e+03	-1.11353e-11	-1.57318e-05	-1.87181e+05	-5.37297e-02	2.28244e-09	-2.94469e+00	4.07710e+02
4.06905e+02	3.45088e+03	3.54519e-11	4.95702e-05	-1.85254e+05	1.71061e-01	2.30617e-09	9.18310e+00	4.06905e+02
4.06084e+02	3.48829e+03	1.13140e-10	1.56500e-04	-1.83267e+05	5.45916e-01	2.33117e-09	2.86813e+01	4.06084e+02
4.05327e+02	3.52154e+03	8.74829e-11	1.19867e-04	-1.81537e+05	4.22118e-01	2.35340e-09	2.17604e+01	4.05327e+02
4.04508e+02	3.55898e+03	9.80291e-11	1.32905e-04	-1.79627e+05	4.73005e-01	2.37842e-09	2.38733e+01	4.04508e+02
4.03730e+02	3.59527e+03	-5.87882e-12	-7.88986e-06	-1.77814e+05	-2.83662e-02	2.40267e-09	-1.40293e+00	4.03730e+02
4.02949e+02	3.63252e+03	1.47369e-10	1.95753e-04	-1.75990e+05	7.11079e-01	2.42757e-09	3.44507e+01	4.02949e+02
4.02172e+02	3.66999e+03	7.68901e-11	1.01092e-04	-1.74194e+05	3.71006e-01	2.45261e-09	1.76095e+01	4.02172e+02
4.01363e+02	3.70812e+03	4.83447e-11	6.29080e-05	-1.72403e+05	2.33270e-01	2.47808e-09	1.08455e+01	4.01363e+02
4.00606e+02	3.74631e+03	6.47311e-12	8.33718e-06	-1.70645e+05	3.12337e-02	2.50361e-09	1.42270e+00	4.00606e+02
3.99799e+02	3.78578e+03	-1.31591e-11	-1.67719e-05	-1.68866e+05	-6.34948e-02	2.52999e-09	-2.83220e+00	3.99799e+02
3.99137e+02	3.81840e+03	8.42136e-11	1.06417e-04	-1.67424e+05	4.06343e-01	2.55178e-09	1.78167e+01	3.99137e+02
3.98317e+02	3.85926e+03	1.09970e-11	1.37493e-05	-1.65651e+05	5.30619e-02	2.57909e-09	2.27758e+00	3.98317e+02
3.97563e+02	3.90102e+03	1.45560e-11	1.80042e-05	-1.63878e+05	7.02348e-02	2.60700e-09	2.95049e+00	3.97563e+02
3.96882e+02	3.93910e+03	1.00275e-10	1.22831e-04	-1.62293e+05	4.83842e-01	2.63245e-09	1.99346e+01	3.96882e+02
3.96135e+02	3.97286e+03	-8.86942e-12	-1.07721e-05	-1.60914e+05	-4.27963e-02	2.65501e-09	-1.73339e+00	3.96135e+02
3.95379e+02	4.01643e+03	-2.73128e-11	-3.28123e-05	-1.59168e+05	-1.31788e-01	2.68413e-09	-5.22268e+00	3.95379e+02
3.94629e+02	4.05726e+03	7.45078e-11	8.86093e-05	-1.57567e+05	3.59511e-01	2.71141e-09	1.39619e+01	3.94629e+02
3.93849e+02	4.10085e+03	6.44678e-11	7.58543e-05	-1.55892e+05	3.11067e-01	2.74054e-09	1.18251e+01	3.93849e+02
3.93096e+02	4.14441e+03	-8.93555e-12	-1.04033e-05	-1.54253e+05	-4.31154e-02	2.76965e-09	-1.60474e+00	3.93096e+02
3.92278e+02	4.19312e+03	3.21723e-11	3.70216e-05	-1.52462e+05	1.55236e-01	2.80220e-09	5.64436e+00	3.92278e+02
3.91372e+02	4.24630e+03	1.71992e-10	1.95437e-04	-1.50552e+05	8.29885e-01	2.83774e-09	2.94235e+01	3.91372e+02
3.90520e+02	4.29717e+03	5.83448e-11	6.55134e-05	-1.48770e+05	2.81522e-01	2.87174e-09	9.74643e+00	3.90520e+02
3.89683e+02	4.34801e+03	1.46519e-10	1.62598e-04	-1.47030e+05	7.06977e-01	2.90571e-09	2.39068e+01	3.89683e+02
3.88830e+02	4.40148e+03	1.29287e-10	1.41732e-04	-1.45244e+05	6.23831e-01	2.94145e-09	2.05858e+01	3.88830e+02
3.88022e+02	4.45115e+03	1.90291e-11	2.06280e-05	-1.43623e+05	9.18185e-02	2.97464e-09	2.96267e+00	3.88022e+02
3.87130e+02	4.50677e+03	7.08355e-11	7.58397e-05	-1.41851e+05	3.41792e-01	3.01181e-09	1.07579e+01	3.87130e+02
3.86342e+02	4.55812e+03	1.22489e-11	1.29665e-05	-1.40253e+05	5.91028e-02	3.04613e-09	1.81858e+00	3.86342e+02
