PMN (111), 2.4.2019, 11:26
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=4.4750e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	 Zs'' [Ohms]	 Eps''   	  Cp' [F]	 Zs' [Ohms]	M Temp [K]
3.90625e+03	2.20074e+03	8.16144e-09	1.70651e-03	-2.77030e+04	3.75559e+00	1.47072e-09	4.72756e+01	4.47656e+02
2.44141e+03	2.17719e+03	1.86180e-09	6.29605e-04	-4.48045e+04	1.37077e+00	1.45498e-09	2.82091e+01	4.47649e+02
1.52588e+03	2.16776e+03	6.89101e-10	3.74475e-04	-7.19990e+04	8.11771e-01	1.44868e-09	2.69618e+01	4.47641e+02
9.53674e+02	2.17374e+03	-3.13672e-10	-2.71981e-04	-1.14881e+05	-5.91217e-01	1.45268e-09	-3.12456e+01	4.47624e+02
5.96046e+02	2.16966e+03	-1.02627e-10	-1.42647e-04	-1.84156e+05	-3.09494e-01	1.44995e-09	-2.62693e+01	4.47617e+02
3.72529e+02	2.16810e+03	1.18520e-10	2.63770e-04	-2.94862e+05	5.71879e-01	1.44891e-09	7.77755e+01	4.47609e+02
2.32831e+02	2.16824e+03	2.26565e-11	8.06707e-05	-4.71748e+05	1.74913e-01	1.44900e-09	3.80563e+01	4.47603e+02
1.45519e+02	2.16839e+03	2.00028e-11	1.13947e-04	-7.54745e+05	2.47082e-01	1.44910e-09	8.60010e+01	4.47597e+02
9.09495e+01	2.16831e+03	4.82930e-11	4.40182e-04	-1.20763e+06	9.54453e-01	1.44906e-09	5.31578e+02	4.47586e+02
5.68434e+01	2.17073e+03	4.41917e-11	6.43762e-04	-1.93006e+06	1.39743e+00	1.45067e-09	1.24250e+03	4.47580e+02
3.55271e+01	2.17132e+03	1.76468e-11	4.11201e-04	-3.08726e+06	8.92847e-01	1.45106e-09	1.26949e+03	4.47572e+02
2.22045e+01	2.17140e+03	9.59994e-12	3.57898e-04	-4.93944e+06	7.77140e-01	1.45112e-09	1.76782e+03	4.47566e+02
1.38778e+01	2.17117e+03	1.06273e-11	6.33985e-04	-7.90392e+06	1.37649e+00	1.45097e-09	5.01097e+03	4.47559e+02
8.67362e+00	2.17191e+03	4.12990e-12	3.94066e-04	-1.26420e+07	8.55874e-01	1.45146e-09	4.98178e+03	4.47545e+02
5.42101e+00	2.17430e+03	6.30715e-12	9.61844e-04	-2.02049e+07	2.09134e+00	1.45305e-09	1.94340e+04	4.47531e+02
3.38813e+00	2.17640e+03	4.76394e-12	1.16128e-03	-3.22967e+07	2.52741e+00	1.45446e-09	3.75056e+04	4.47517e+02
2.11758e+00	2.17760e+03	3.90555e-12	1.52242e-03	-5.16461e+07	3.31522e+00	1.45526e-09	7.86269e+04	4.47510e+02
1.32349e+00	2.17819e+03	3.02013e-12	1.88313e-03	-8.26112e+07	4.10182e+00	1.45566e-09	1.55567e+05	4.47496e+02
8.27181e-01	2.18002e+03	3.17931e-13	3.16915e-04	-1.32068e+08	6.90882e-01	1.45688e-09	4.18542e+04	4.47466e+02
5.16988e-01	2.18512e+03	1.28264e-12	2.04090e-03	-2.10814e+08	4.45960e+00	1.46028e-09	4.30251e+05	4.47420e+02
3.23117e-01	2.18267e+03	1.70398e-12	4.34295e-03	-3.37676e+08	9.47924e+00	1.45865e-09	1.46651e+06	4.47334e+02
2.01948e-01	2.18684e+03	8.76398e-13	3.56710e-03	-5.39255e+08	7.80067e+00	1.46144e-09	1.92358e+06	4.47242e+02
1.26218e-01	2.19812e+03	9.29958e-13	6.02508e-03	-8.58362e+08	1.32438e+01	1.46897e-09	5.17170e+06	4.47103e+02
1.00000e-01	2.19752e+03	-5.96669e-14	-4.88058e-04	-1.08374e+09	-1.07252e+00	1.46857e-09	-5.28926e+05	4.46869e+02
