PMN big (111) new contact, 26.3.2020, 11:41
Fixed value(s) :  Temp. [K]=3.1353e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	M Temp [K]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.28774e+04	4.64235e+02	7.74798e-04	3.60503e-02	5.84819e-09	3.12514e+02	4.48887e+02	1.81921e-01
1.66667e+06	1.29419e+04	3.01527e+02	2.79579e-04	2.32985e-02	5.87750e-09	3.12535e+02	4.50074e+02	2.98781e-01
9.25926e+05	1.29724e+04	1.69882e+02	8.75092e-05	1.30956e-02	5.89135e-09	3.12569e+02	4.51180e+02	4.80767e-01
5.14403e+05	1.29842e+04	9.29165e+01	2.65905e-05	7.15615e-03	5.89667e-09	3.12630e+02	4.52894e+02	7.22712e-01
2.85780e+05	1.29806e+04	5.28185e+01	8.39743e-06	4.06903e-03	5.89505e-09	3.12660e+02	4.54014e+02	8.88861e-01
1.58766e+05	1.29954e+04	3.00638e+01	2.65541e-06	2.31342e-03	5.90177e-09	3.12718e+02	4.55895e+02	9.65197e-01
8.82036e+04	1.29928e+04	1.87348e+01	9.19316e-07	1.44193e-03	5.90061e-09	3.12777e+02	4.57662e+02	9.91766e-01
4.90020e+04	1.29790e+04	1.25122e+01	3.41097e-07	9.64036e-04	5.89433e-09	3.12833e+02	4.60007e+02	9.99838e-01
2.72233e+04	1.29649e+04	8.65752e+00	1.31118e-07	6.67766e-04	5.88793e-09	3.12922e+02	4.62503e+02	1.00407e+00
1.51241e+04	1.29501e+04	6.82126e+00	5.73935e-08	5.26735e-04	5.88120e-09	3.12993e+02	4.64595e+02	1.00568e+00
8.40226e+03	1.29353e+04	5.39161e+00	2.52025e-08	4.16812e-04	5.87450e-09	3.13040e+02	4.66959e+02	1.00574e+00
4.66792e+03	1.29208e+04	4.50774e+00	1.17061e-08	3.48875e-04	5.86790e-09	3.13112e+02	4.69396e+02	1.00537e+00
2.59329e+03	1.29079e+04	4.45864e+00	6.43254e-09	3.45419e-04	5.86205e-09	3.13175e+02	4.71508e+02	1.00449e+00
1.44072e+03	1.28939e+04	4.18069e+00	3.35086e-09	3.24238e-04	5.85568e-09	3.13261e+02	4.74026e+02	1.00219e+00
8.00398e+02	1.28763e+04	3.79302e+00	1.68897e-09	2.94575e-04	5.84768e-09	3.13317e+02	4.76468e+02	1.00171e+00
4.44666e+02	1.28618e+04	3.38940e+00	8.38466e-10	2.63525e-04	5.84110e-09	3.13403e+02	4.78903e+02	1.00215e+00
2.47036e+02	1.28478e+04	3.66649e+00	5.03896e-10	2.85379e-04	5.83476e-09	3.13462e+02	4.80984e+02	1.00159e+00
1.37242e+02	1.28340e+04	3.40768e+00	2.60182e-10	2.65520e-04	5.82847e-09	3.13520e+02	4.83379e+02	1.00115e+00
7.62458e+01	1.28167e+04	3.11557e+00	1.32155e-10	2.43086e-04	5.82062e-09	3.13608e+02	4.85888e+02	1.00175e+00
4.23588e+01	1.28029e+04	3.71017e+00	8.74314e-11	2.89791e-04	5.81437e-09	3.13668e+02	4.88012e+02	1.00170e+00
2.35327e+01	1.27872e+04	3.72211e+00	4.87292e-11	2.91081e-04	5.80723e-09	3.13730e+02	4.90384e+02	1.00170e+00
1.30737e+01	1.27706e+04	3.30407e+00	2.40313e-11	2.58725e-04	5.79966e-09	3.13816e+02	4.93012e+02	1.00171e+00
7.26317e+00	1.27547e+04	3.43281e+00	1.38709e-11	2.69141e-04	5.79245e-09	3.13877e+02	4.95154e+02	1.00171e+00
4.03509e+00	1.27412e+04	3.58365e+00	8.04467e-12	2.81265e-04	5.78632e-09	3.13952e+02	4.97889e+02	1.00172e+00
2.24172e+00	1.27210e+04	4.16055e+00	5.18874e-12	3.27063e-04	5.77714e-09	3.14042e+02	5.00646e+02	1.00171e+00
1.24540e+00	1.26973e+04	3.88694e+00	2.69306e-12	3.06123e-04	5.76641e-09	3.14159e+02	5.05156e+02	1.00172e+00
6.91889e-01	1.26564e+04	3.09879e+00	1.19277e-12	2.44840e-04	5.74782e-09	3.14392e+02	5.13151e+02	1.00176e+00
3.84382e-01	1.25947e+04	4.85266e+00	1.03770e-12	3.85296e-04	5.71978e-09	3.14754e+02	5.25157e+02	1.00179e+00
2.13546e-01	1.24644e+04	6.01406e-01	7.14477e-14	4.82497e-05	5.66065e-09	3.15496e+02	5.49186e+02	1.00180e+00
1.00000e-01	1.22128e+04	-7.03680e+00	-3.91475e-13	-5.76181e-04	5.54638e-09	3.17028e+02	5.99672e+02	1.00184e+00
