PMN (111), 17.4.2019, 18:47
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.7449e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.68639e+04	8.41860e-03	2.99110e-01	2.76070e+02	5.04417e+03	1.12699e-08	8.01995e+02	9.11157e-02
1.87500e+06	1.80989e+04	4.82477e-03	2.55560e-01	2.75963e+02	4.62536e+03	1.20953e-08	8.03204e+02	1.30998e-01
1.17188e+06	1.93039e+04	2.73568e-03	2.17376e-01	2.75885e+02	4.19619e+03	1.29005e-08	8.04805e+02	1.49473e-01
7.32422e+05	2.05221e+04	1.58925e-03	1.90056e-01	2.75857e+02	3.90034e+03	1.37146e-08	8.05998e+02	2.72661e-01
4.57764e+05	2.16229e+04	9.10578e-04	1.65361e-01	2.75780e+02	3.57558e+03	1.44503e-08	8.06994e+02	4.02354e-01
2.86102e+05	2.26345e+04	5.17089e-04	1.43530e-01	2.75727e+02	3.24874e+03	1.51263e-08	8.08127e+02	5.55748e-01
1.78814e+05	2.35517e+04	2.91245e-04	1.24310e-01	2.75621e+02	2.92771e+03	1.57393e-08	8.09331e+02	7.10380e-01
1.11759e+05	2.43603e+04	1.62414e-04	1.07233e-01	2.75565e+02	2.61223e+03	1.62796e-08	8.10435e+02	8.35740e-01
6.98492e+04	2.50886e+04	8.88313e-05	9.11168e-02	2.75516e+02	2.28600e+03	1.67664e-08	8.11623e+02	9.17832e-01
4.36558e+04	2.57064e+04	4.81500e-05	7.71230e-02	2.75464e+02	1.98256e+03	1.71792e-08	8.13247e+02	9.61966e-01
2.72848e+04	2.62389e+04	2.56835e-05	6.44850e-02	2.75357e+02	1.69202e+03	1.75351e-08	8.14473e+02	9.85513e-01
1.70530e+04	2.66855e+04	1.35446e-05	5.35007e-02	2.75304e+02	1.42769e+03	1.78335e-08	8.16060e+02	9.96404e-01
1.06581e+04	2.70555e+04	7.05712e-06	4.39907e-02	2.75196e+02	1.19019e+03	1.80808e-08	8.17672e+02	1.00170e+00
6.66134e+03	2.73685e+04	3.62262e-06	3.57176e-02	2.75144e+02	9.77535e+02	1.82900e-08	8.18999e+02	1.00414e+00
4.16334e+03	2.76194e+04	1.84968e-06	2.89142e-02	2.75042e+02	7.98593e+02	1.84577e-08	8.20588e+02	1.00457e+00
2.60208e+03	2.78251e+04	9.37789e-07	2.32819e-02	2.74982e+02	6.47820e+02	1.85951e-08	8.22186e+02	1.00437e+00
1.62630e+03	2.79905e+04	4.76781e-07	1.88268e-02	2.74926e+02	5.26973e+02	1.87057e-08	8.23189e+02	1.00495e+00
1.01644e+03	2.81607e+04	2.38613e-07	1.49844e-02	2.74819e+02	4.21971e+02	1.88194e-08	8.24803e+02	1.00195e+00
6.35275e+02	2.81614e+04	1.14847e-07	1.15392e-02	2.74764e+02	3.24959e+02	1.88199e-08	8.26131e+02	1.00232e+00
3.97047e+02	2.82827e+04	5.95039e-08	9.52477e-03	2.74631e+02	2.69386e+02	1.89009e-08	8.27738e+02	1.00223e+00
2.48154e+02	2.83763e+04	3.12233e-08	7.97027e-03	2.74578e+02	2.26167e+02	1.89635e-08	8.29378e+02	1.00216e+00
1.55096e+02	2.84094e+04	1.61619e-08	6.59324e-03	2.74466e+02	1.87310e+02	1.89856e-08	8.30767e+02	1.00246e+00
9.69352e+01	2.84761e+04	8.76751e-09	5.70934e-03	2.74414e+02	1.62579e+02	1.90302e-08	8.31802e+02	1.00244e+00
6.05845e+01	2.85531e+04	4.84533e-09	5.03475e-03	2.74364e+02	1.43758e+02	1.90817e-08	8.33471e+02	1.00237e+00
3.78653e+01	2.86401e+04	2.71358e-09	4.49778e-03	2.74253e+02	1.28817e+02	1.91398e-08	8.35012e+02	1.00236e+00
2.36658e+01	2.87075e+04	1.53987e-09	4.07416e-03	2.74201e+02	1.16959e+02	1.91848e-08	8.36616e+02	1.00237e+00
1.47911e+01	2.87458e+04	8.20704e-10	3.46961e-03	2.74097e+02	9.97369e+01	1.92105e-08	8.37943e+02	1.00239e+00
9.24446e+00	2.87966e+04	4.88221e-10	3.29658e-03	2.74040e+02	9.49304e+01	1.92444e-08	8.38987e+02	1.00239e+00
5.77779e+00	2.88626e+04	2.95184e-10	3.18175e-03	2.73988e+02	9.18335e+01	1.92885e-08	8.40644e+02	1.00239e+00
3.61112e+00	2.89409e+04	1.82895e-10	3.14570e-03	2.73886e+02	9.10395e+01	1.93408e-08	8.42191e+02	1.00239e+00
2.25695e+00	2.90081e+04	1.11469e-10	3.06046e-03	2.73833e+02	8.87779e+01	1.93857e-08	8.43961e+02	1.00238e+00
1.41059e+00	2.90528e+04	6.35209e-11	2.78611e-03	2.73674e+02	8.09442e+01	1.94156e-08	8.46168e+02	1.00240e+00
8.81621e-01	2.91340e+04	4.27867e-11	2.99432e-03	2.73546e+02	8.72365e+01	1.94698e-08	8.48817e+02	1.00242e+00
5.51013e-01	2.92925e+04	2.77431e-11	3.08964e-03	2.73229e+02	9.05033e+01	1.95758e-08	8.54678e+02	1.00243e+00
3.44383e-01	2.95276e+04	2.03277e-11	3.59327e-03	2.72771e+02	1.06101e+02	1.97329e-08	8.63839e+02	1.00245e+00
