PMN 25mkm, 24.5.2021, 17:33
Diameter[mm] 2.000e+00  Thickness[mm] 2.500e-02  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=2.858e+05  AC Volt  [Vrms]=2.000e-01
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]
2.97137e+02	7.22924e+03	2.62967e+03	4.18082e-04	3.63755e-01	8.04362e-09	2.22422e+01	-6.11461e+01	2.97137e+02
3.00849e+02	7.04169e+03	2.40915e+03	3.83023e-04	3.42127e-01	7.83495e-09	2.17704e+01	-6.36326e+01	3.00849e+02
3.06734e+02	6.74856e+03	2.16103e+03	3.43575e-04	3.20221e-01	7.50880e-09	2.15414e+01	-6.72703e+01	3.06734e+02
3.10950e+02	6.90178e+03	1.26204e+03	2.00647e-04	1.82857e-01	7.67928e-09	1.28320e+01	-7.01754e+01	3.10950e+02
3.15422e+02	6.64224e+03	1.05421e+03	1.67606e-04	1.58713e-01	7.39050e-09	1.16661e+01	-7.35039e+01	3.15422e+02
3.20109e+02	6.33922e+03	9.33204e+02	1.48367e-04	1.47211e-01	7.05334e-09	1.13769e+01	-7.72828e+01	3.20109e+02
3.24918e+02	6.02351e+03	8.50475e+02	1.35214e-04	1.41192e-01	6.70207e-09	1.15032e+01	-8.14718e+01	3.24918e+02
3.29843e+02	5.71261e+03	7.59177e+02	1.20699e-04	1.32895e-01	6.35614e-09	1.14420e+01	-8.60978e+01	3.29843e+02
3.34775e+02	5.38869e+03	7.46530e+02	1.18688e-04	1.38536e-01	5.99573e-09	1.26257e+01	-9.11361e+01	3.34775e+02
3.39787e+02	5.07429e+03	7.25057e+02	1.15274e-04	1.42888e-01	5.64592e-09	1.38125e+01	-9.66667e+01	3.39787e+02
3.44861e+02	4.75061e+03	7.56536e+02	1.20279e-04	1.59250e-01	5.28577e-09	1.63638e+01	-1.02755e+02	3.44861e+02
3.49943e+02	4.46062e+03	7.35003e+02	1.16856e-04	1.64776e-01	4.96312e-09	1.80008e+01	-1.09245e+02	3.49943e+02
3.55028e+02	4.17438e+03	7.42788e+02	1.18093e-04	1.77940e-01	4.64463e-09	2.06811e+01	-1.16225e+02	3.55028e+02
3.60087e+02	3.87751e+03	7.81654e+02	1.24273e-04	2.01587e-01	4.31432e-09	2.50057e+01	-1.24045e+02	3.60087e+02
3.64191e+02	3.65955e+03	8.32532e+02	1.32361e-04	2.27496e-01	4.07180e-09	2.95843e+01	-1.30043e+02	3.64191e+02
3.68508e+02	2.05878e+01	1.13870e+00	1.81037e-07	5.53091e-02	2.29071e-11	1.34057e+03	-2.42378e+04	3.68508e+02
3.72702e+02	2.10173e+01	1.22477e+00	1.94722e-07	5.82744e-02	2.33849e-11	1.38312e+03	-2.37345e+04	3.72702e+02
3.78118e+02	2.16940e+01	1.36593e+00	2.17165e-07	6.29637e-02	2.41379e-11	1.44698e+03	-2.29811e+04	3.78118e+02
3.82622e+02	2.63505e+01	1.93590e+00	3.07782e-07	7.34671e-02	2.93190e-11	1.38802e+03	-1.88931e+04	3.82622e+02
3.87453e+02	2.62812e+01	2.02449e+00	3.21867e-07	7.70319e-02	2.92418e-11	1.45843e+03	-1.89328e+04	3.87453e+02
3.91344e+02	2.80694e+01	3.79352e+00	6.03119e-07	1.35148e-01	3.12315e-11	2.36671e+03	-1.75120e+04	3.91344e+02
3.95319e+02	3.26912e+01	3.41070e+00	5.42256e-07	1.04331e-01	3.63739e-11	1.58019e+03	-1.51460e+04	3.95319e+02
3.98992e+02	3.10984e+02	7.80054e+02	1.24018e-04	2.50834e+00	3.46017e-10	5.53662e+02	-2.20729e+02	3.98992e+02
4.03038e+02	2.37543e+03	3.30108e+02	5.24827e-05	1.38968e-01	2.64302e-09	2.87273e+01	-2.06719e+02	4.03038e+02
4.06693e+02	2.27753e+03	3.31463e+02	5.26982e-05	1.45536e-01	2.53410e-09	3.13209e+01	-2.15210e+02	4.06693e+02
4.10336e+02	4.10902e+01	4.56185e+00	7.25272e-07	1.11020e-01	4.57191e-11	1.33590e+03	-1.20329e+04	4.10336e+02
4.14355e+02	3.79077e+01	4.22378e+00	6.71524e-07	1.11423e-01	4.21781e-11	1.45317e+03	-1.30420e+04	4.14355e+02
4.17704e+02	3.83543e+01	4.34595e+00	6.90947e-07	1.13311e-01	4.26750e-11	1.45997e+03	-1.28847e+04	4.17704e+02
4.21096e+02	3.92520e+01	4.49838e+00	7.15183e-07	1.14603e-01	4.36738e-11	1.44243e+03	-1.25864e+04	4.21096e+02
4.24502e+02	4.14105e+01	5.09294e+00	8.09709e-07	1.22986e-01	4.60755e-11	1.46439e+03	-1.19069e+04	4.24502e+02
4.27838e+02	1.79680e+03	3.51003e+02	5.58047e-05	1.95349e-01	1.99921e-09	5.24177e+01	-2.68328e+02	4.27838e+02
4.31118e+02	1.74418e+03	3.28303e+02	5.21958e-05	1.88228e-01	1.94066e-09	5.21679e+01	-2.77152e+02	4.31118e+02
4.34347e+02	1.69266e+03	3.11045e+02	4.94519e-05	1.83760e-01	1.88335e-09	5.25639e+01	-2.86046e+02	4.34347e+02
4.37537e+02	1.64479e+03	2.94888e+02	4.68832e-05	1.79286e-01	1.83008e-09	5.28599e+01	-2.94835e+02	4.37537e+02
4.40733e+02	1.59858e+03	2.77976e+02	4.41944e-05	1.73889e-01	1.77867e-09	5.28480e+01	-3.03918e+02	4.40733e+02
4.43848e+02	1.55528e+03	2.63493e+02	4.18919e-05	1.69418e-01	1.73049e-09	5.30019e+01	-3.12846e+02	4.43848e+02
4.46892e+02	1.51453e+03	2.49049e+02	3.95954e-05	1.64440e-01	1.68514e-09	5.29140e+01	-3.21784e+02	4.46892e+02
4.49794e+02	1.47851e+03	2.37374e+02	3.77393e-05	1.60550e-01	1.64507e-09	5.29861e+01	-3.30030e+02	4.49794e+02
4.50720e+02	1.47051e+03	2.32436e+02	3.69541e-05	1.58065e-01	1.63616e-09	5.24906e+01	-3.32082e+02	4.50720e+02
4.50438e+02	1.47606e+03	2.34474e+02	3.72782e-05	1.58851e-01	1.64234e-09	5.25405e+01	-3.30752e+02	4.50438e+02
4.50093e+02	1.48004e+03	2.35279e+02	3.74063e-05	1.58968e-01	1.64677e-09	5.24357e+01	-3.29850e+02	4.50093e+02
4.49979e+02	1.48651e+03	2.21368e+02	3.51945e-05	1.48918e-01	1.65397e-09	4.90549e+01	-3.29409e+02	4.49979e+02
4.49994e+02	1.49023e+03	2.17926e+02	3.46473e-05	1.46236e-01	1.65811e-09	4.80885e+01	-3.28841e+02	4.49994e+02
4.49983e+02	1.48828e+03	2.16584e+02	3.44339e-05	1.45526e-01	1.65594e-09	4.79274e+01	-3.29339e+02	4.49983e+02
4.49991e+02	1.48877e+03	2.15870e+02	3.43204e-05	1.44999e-01	1.65648e-09	4.77452e+01	-3.29280e+02	4.49991e+02
4.50061e+02	1.48806e+03	2.16604e+02	3.44372e-05	1.45562e-01	1.65569e-09	4.79459e+01	-3.29385e+02	4.50061e+02
4.50051e+02	1.48750e+03	2.18572e+02	3.47500e-05	1.46940e-01	1.65506e-09	4.83990e+01	-3.29380e+02	4.50051e+02
4.50048e+02	1.48786e+03	2.18481e+02	3.47355e-05	1.46843e-01	1.65547e-09	4.83565e+01	-3.29309e+02	4.50048e+02
4.50017e+02	1.48761e+03	2.20879e+02	3.51168e-05	1.48479e-01	1.65520e-09	4.88803e+01	-3.29207e+02	4.50017e+02
4.50016e+02	1.48718e+03	2.23368e+02	3.55126e-05	1.50196e-01	1.65471e-09	4.94353e+01	-3.29138e+02	4.50016e+02
4.50043e+02	1.48717e+03	2.22072e+02	3.53064e-05	1.49325e-01	1.65470e-09	4.91615e+01	-3.29224e+02	4.50043e+02
4.50009e+02	1.48763e+03	2.23171e+02	3.54812e-05	1.50018e-01	1.65522e-09	4.93640e+01	-3.29055e+02	4.50009e+02
4.49971e+02	1.48780e+03	2.24709e+02	3.57256e-05	1.51034e-01	1.65540e-09	4.96782e+01	-3.28920e+02	4.49971e+02
4.49961e+02	1.48745e+03	2.26359e+02	3.59880e-05	1.52179e-01	1.65501e-09	5.00494e+01	-3.28885e+02	4.49961e+02
4.50013e+02	1.48675e+03	2.26774e+02	3.60540e-05	1.52530e-01	1.65424e-09	5.01830e+01	-3.29005e+02	4.50013e+02
4.50032e+02	1.48623e+03	2.28075e+02	3.62609e-05	1.53459e-01	1.65366e-09	5.04923e+01	-3.29029e+02	4.50032e+02
4.49718e+02	1.48983e+03	2.32974e+02	3.70397e-05	1.56375e-01	1.65767e-09	5.12824e+01	-3.27944e+02	4.49718e+02
4.48261e+02	1.50940e+03	2.40922e+02	3.83033e-05	1.59614e-01	1.67943e-09	5.16145e+01	-3.23370e+02	4.48261e+02
4.46634e+02	1.53186e+03	2.45612e+02	3.90490e-05	1.60335e-01	1.70443e-09	5.10759e+01	-3.18556e+02	4.46634e+02
4.45111e+02	1.55280e+03	2.51760e+02	4.00265e-05	1.62133e-01	1.72772e-09	5.09234e+01	-3.14084e+02	4.45111e+02
4.43574e+02	1.57426e+03	2.58378e+02	4.10786e-05	1.64126e-01	1.75161e-09	5.08143e+01	-3.09605e+02	4.43574e+02
4.42066e+02	1.59480e+03	2.66786e+02	4.24154e-05	1.67285e-01	1.77445e-09	5.10735e+01	-3.05308e+02	4.42066e+02
4.40553e+02	1.61593e+03	2.76020e+02	4.38834e-05	1.70812e-01	1.79797e-09	5.14085e+01	-3.00966e+02	4.40553e+02
4.38993e+02	1.63756e+03	2.87807e+02	4.57575e-05	1.75753e-01	1.82204e-09	5.21103e+01	-2.96496e+02	4.38993e+02
4.37375e+02	1.66026e+03	2.99303e+02	4.75851e-05	1.80275e-01	1.84729e-09	5.26379e+01	-2.91987e+02	4.37375e+02
4.35759e+02	1.68688e+03	3.07286e+02	4.88544e-05	1.82162e-01	1.87691e-09	5.23150e+01	-2.87189e+02	4.35759e+02
