PMN (111) big, 24.5.2019, 13:49
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=2.861e+05  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	  Cp' [F]	 Sig' [S/cm]	Tan(Delta)  	M Time M[s]	M Temp [K]
2.96921e+02	1.97100e+04	5.74257e+02	1.31720e-08	9.14023e-05	2.91353e-02	1.00392e+01	2.96921e+02
2.98335e+02	1.91724e+04	5.18536e+02	1.28127e-08	8.25334e-05	2.70459e-02	2.37855e+02	2.98335e+02
2.96982e+02	1.97768e+04	5.76777e+02	1.32166e-08	9.18034e-05	2.91643e-02	4.65663e+02	2.96982e+02
2.89373e+02	2.23509e+04	1.23787e+03	1.49368e-08	1.97027e-04	5.53834e-02	6.90479e+02	2.89373e+02
2.80880e+02	2.33008e+04	2.84926e+03	1.55716e-08	4.53506e-04	1.22282e-01	8.45551e+02	2.80880e+02
2.74860e+02	2.17933e+04	3.75921e+03	1.45642e-08	5.98339e-04	1.72493e-01	9.58602e+02	2.74860e+02
2.68975e+02	1.91170e+04	3.82680e+03	1.27756e-08	6.09098e-04	2.00178e-01	1.07308e+03	2.68975e+02
2.63301e+02	1.62831e+04	3.34922e+03	1.08817e-08	5.33083e-04	2.05688e-01	1.18667e+03	2.63301e+02
2.57905e+02	1.38247e+04	2.75569e+03	9.23883e-09	4.38613e-04	1.99332e-01	1.30409e+03	2.57905e+02
2.53395e+02	1.20308e+04	2.28733e+03	8.04000e-09	3.64065e-04	1.90123e-01	1.42167e+03	2.53395e+02
2.49414e+02	1.06600e+04	1.93206e+03	7.12390e-09	3.07518e-04	1.81245e-01	1.53454e+03	2.49414e+02
2.45538e+02	9.51024e+03	1.64656e+03	6.35556e-09	2.62076e-04	1.73135e-01	1.64895e+03	2.45538e+02
2.42020e+02	8.65595e+03	1.44491e+03	5.78465e-09	2.29981e-04	1.66927e-01	1.76266e+03	2.42020e+02
2.40486e+02	8.33447e+03	1.37227e+03	5.56981e-09	2.18418e-04	1.64650e-01	1.87517e+03	2.40486e+02
2.39678e+02	8.16336e+03	1.33352e+03	5.45546e-09	2.12251e-04	1.63354e-01	1.98707e+03	2.39678e+02
2.39685e+02	8.18195e+03	1.33686e+03	5.46788e-09	2.12783e-04	1.63391e-01	2.10859e+03	2.39685e+02
2.39940e+02	8.24753e+03	1.34951e+03	5.51171e-09	2.14796e-04	1.63626e-01	2.23475e+03	2.39940e+02
