PMN 25mkm, 24.5.2021, 17:33
Diameter[mm] 2.000e+00  Thickness[mm] 2.500e-02  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=4.4944e+02  AC Volt  [Vrms]=2.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]
3.00000e+06	4.43601e+02	6.72192e+02	1.12187e-03	1.51531e+00	4.93573e-10	4.94129e+01	-3.26091e+01	4.49775e+02
1.66667e+06	8.55455e+02	7.44755e+02	6.90544e-04	8.70595e-01	9.51824e-10	4.96853e+01	-5.70705e+01	4.49771e+02
9.25926e+05	1.22500e+03	6.00925e+02	3.09546e-04	4.90550e-01	1.36300e-09	4.98638e+01	-1.01649e+02	4.49753e+02
5.14403e+05	1.41187e+03	3.91272e+02	1.11973e-04	2.77131e-01	1.57092e-09	5.06888e+01	-1.82906e+02	4.49737e+02
2.85780e+05	1.48983e+03	2.32974e+02	3.70397e-05	1.56375e-01	1.65767e-09	5.12824e+01	-3.27944e+02	4.49718e+02
1.58766e+05	1.51785e+03	1.35537e+02	1.19714e-05	8.92953e-02	1.68883e-09	5.25840e+01	-5.88878e+02	4.49702e+02
8.82036e+04	1.52879e+03	7.98736e+01	3.91939e-06	5.22462e-02	1.70101e-09	5.52709e+01	-1.05789e+03	4.49683e+02
4.90020e+04	1.53463e+03	4.89072e+01	1.33326e-06	3.18690e-02	1.70751e-09	6.05578e+01	-1.90021e+03	4.49663e+02
2.72233e+04	1.53898e+03	3.21173e+01	4.86419e-07	2.08693e-02	1.71234e-09	7.12208e+01	-3.41271e+03	4.49647e+02
1.51241e+04	1.54267e+03	2.39525e+01	2.01534e-07	1.55267e-02	1.71645e-09	9.51686e+01	-6.12937e+03	4.49618e+02
8.40226e+03	1.54659e+03	2.13625e+01	9.98567e-08	1.38127e-02	1.72081e-09	1.52015e+02	-1.10054e+04	4.49598e+02
4.66792e+03	1.55144e+03	2.27763e+01	5.91474e-08	1.46807e-02	1.72622e-09	2.89904e+02	-1.97473e+04	4.49576e+02
2.59329e+03	1.55760e+03	2.78209e+01	4.01376e-08	1.78613e-02	1.73307e-09	6.32307e+02	-3.54009e+04	4.49556e+02
1.44072e+03	1.56610e+03	3.67317e+01	2.94407e-08	2.34543e-02	1.74252e-09	1.48610e+03	-6.33614e+04	4.49526e+02
8.00398e+02	1.57838e+03	5.02412e+01	2.23715e-08	3.18310e-02	1.75618e-09	3.60043e+03	-1.13111e+05	4.49505e+02
4.44666e+02	1.59691e+03	6.86178e+01	1.69746e-08	4.29691e-02	1.77680e-09	8.63977e+03	-2.01069e+05	4.49482e+02
2.47036e+02	1.62413e+03	9.05100e+01	1.24390e-08	5.57283e-02	1.80709e-09	1.98066e+04	-3.55412e+05	4.49457e+02
1.37242e+02	1.65878e+03	1.13376e+02	8.65644e-09	6.83491e-02	1.84564e-09	4.27456e+04	-6.25402e+05	4.49422e+02
7.62458e+01	1.69540e+03	1.39953e+02	5.93645e-09	8.25486e-02	1.88639e-09	9.07262e+04	-1.09907e+06	4.49394e+02
4.23588e+01	1.72949e+03	1.81937e+02	4.28739e-09	1.05197e-01	1.92432e-09	2.03153e+05	-1.93117e+06	4.49381e+02
2.35327e+01	1.76084e+03	2.57853e+02	3.37576e-09	1.46437e-01	1.95920e-09	4.94887e+05	-3.37952e+06	4.49347e+02
1.30737e+01	1.79147e+03	3.97512e+02	2.89120e-09	2.21892e-01	1.99328e-09	1.29158e+06	-5.82077e+06	4.49307e+02
7.26317e+00	1.82520e+03	6.51603e+02	2.63293e-09	3.57003e-01	2.03082e-09	3.41663e+06	-9.57030e+06	4.49295e+02
4.03509e+00	1.87011e+03	1.10331e+03	2.47674e-09	5.89970e-01	2.08079e-09	8.29580e+06	-1.40614e+07	4.49252e+02
2.24172e+00	1.93948e+03	1.90043e+03	2.37007e-09	9.79863e-01	2.15797e-09	1.64465e+07	-1.67845e+07	4.49211e+02
1.24540e+00	2.05987e+03	3.30435e+03	2.28941e-09	1.60415e+00	2.29192e-09	2.50316e+07	-1.56042e+07	4.49183e+02
6.91889e-01	2.26550e+03	5.77367e+03	2.22237e-09	2.54851e+00	2.52072e-09	3.10299e+07	-1.21757e+07	4.49138e+02
3.84382e-01	2.64191e+03	1.00457e+04	2.14819e-09	3.80244e+00	2.93953e-09	3.46475e+07	-9.11192e+06	4.49043e+02
2.13546e-01	3.33050e+03	1.73941e+04	2.06643e-09	5.22266e+00	3.70569e-09	3.71477e+07	-7.11280e+06	4.48907e+02
1.00000e-01	5.18002e+03	3.46527e+04	1.92782e-09	6.68968e+00	5.76356e-09	4.03763e+07	-6.03561e+06	4.48416e+02
