PMN (111) big, 24.5.2019, 13:49
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.3999e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Eps''   	  Cp' [F]	 Sig' [S/cm]	Tan(Delta)  	M Time M[s]	M Temp [K]
3.00000e+06	6.24692e+03	1.62170e+03	4.17473e-09	2.70658e-03	2.59600e-01	2.91827e+03	2.39990e+02
1.87500e+06	6.67413e+03	1.53817e+03	4.46023e-09	1.60448e-03	2.30468e-01	2.91941e+03	2.39990e+02
1.17188e+06	7.08806e+03	1.45992e+03	4.73686e-09	9.51787e-04	2.05969e-01	2.92104e+03	2.39989e+02
7.32422e+05	7.52304e+03	1.41775e+03	5.02755e-09	5.77684e-04	1.88454e-01	2.92221e+03	2.39989e+02
4.57764e+05	7.92918e+03	1.38465e+03	5.29896e-09	3.52622e-04	1.74626e-01	2.92329e+03	2.39988e+02
2.86102e+05	8.32887e+03	1.36391e+03	5.56607e-09	2.17089e-04	1.63757e-01	2.92492e+03	2.39988e+02
1.78814e+05	8.72596e+03	1.35320e+03	5.83144e-09	1.34615e-04	1.55078e-01	2.92631e+03	2.39988e+02
1.11759e+05	9.12359e+03	1.34726e+03	6.09717e-09	8.37649e-05	1.47668e-01	2.92788e+03	2.39989e+02
6.98492e+04	9.52246e+03	1.34792e+03	6.36373e-09	5.23786e-05	1.41551e-01	2.92892e+03	2.39989e+02
4.36558e+04	9.92276e+03	1.35129e+03	6.63124e-09	3.28186e-05	1.36181e-01	2.93053e+03	2.39989e+02
2.72848e+04	1.03252e+04	1.35725e+03	6.90018e-09	2.06020e-05	1.31450e-01	2.93214e+03	2.39989e+02
1.70530e+04	1.07337e+04	1.36608e+03	7.17318e-09	1.29601e-05	1.27271e-01	2.93348e+03	2.39990e+02
1.06581e+04	1.11430e+04	1.37627e+03	7.44673e-09	8.16045e-06	1.23510e-01	2.93507e+03	2.39991e+02
6.66134e+03	1.15561e+04	1.38825e+03	7.72281e-09	5.14468e-06	1.20131e-01	2.93610e+03	2.39991e+02
4.16334e+03	1.19736e+04	1.40176e+03	8.00178e-09	3.24671e-06	1.17071e-01	2.93771e+03	2.39992e+02
2.60208e+03	1.23936e+04	1.41656e+03	8.28250e-09	2.05062e-06	1.14297e-01	2.93936e+03	2.39991e+02
1.62630e+03	1.27857e+04	1.42708e+03	8.54451e-09	1.29115e-06	1.11615e-01	2.94067e+03	2.39991e+02
1.01644e+03	1.32265e+04	1.43365e+03	8.83908e-09	8.10688e-07	1.08392e-01	2.94229e+03	2.39991e+02
6.35275e+02	1.36642e+04	1.45893e+03	9.13162e-09	5.15616e-07	1.06770e-01	2.94335e+03	2.39990e+02
3.97047e+02	1.41056e+04	1.48349e+03	9.42659e-09	3.27684e-07	1.05170e-01	2.94504e+03	2.39992e+02
2.48154e+02	1.45294e+04	1.50285e+03	9.70980e-09	2.07475e-07	1.03435e-01	2.94639e+03	2.39991e+02
1.55096e+02	1.49849e+04	1.53031e+03	1.00142e-08	1.32041e-07	1.02123e-01	2.94804e+03	2.39992e+02
9.69352e+01	1.54468e+04	1.55967e+03	1.03229e-08	8.41092e-08	1.00970e-01	2.94910e+03	2.39991e+02
6.05845e+01	1.59120e+04	1.59126e+03	1.06338e-08	5.36331e-08	1.00004e-01	2.95219e+03	2.39994e+02
3.78653e+01	1.63925e+04	1.62461e+03	1.09549e-08	3.42232e-08	9.91068e-02	2.95473e+03	2.39995e+02
2.36658e+01	1.68751e+04	1.66177e+03	1.12774e-08	2.18787e-08	9.84746e-02	2.95771e+03	2.39998e+02
1.47911e+01	1.73709e+04	1.69892e+03	1.16087e-08	1.39799e-08	9.78026e-02	2.96029e+03	2.39998e+02
9.24446e+00	1.78985e+04	1.74512e+03	1.19613e-08	8.97505e-09	9.75012e-02	2.96311e+03	2.39999e+02
5.77779e+00	1.84203e+04	1.79141e+03	1.23100e-08	5.75820e-09	9.72522e-02	2.96594e+03	2.40000e+02
3.61112e+00	1.89649e+04	1.84589e+03	1.26740e-08	3.70831e-09	9.73319e-02	2.96911e+03	2.40000e+02
2.25695e+00	1.95035e+04	1.90033e+03	1.30339e-08	2.38606e-09	9.74355e-02	2.97250e+03	2.40002e+02
1.41059e+00	2.00924e+04	1.95914e+03	1.34275e-08	1.53744e-09	9.75068e-02	2.97676e+03	2.40003e+02
8.81621e-01	2.06643e+04	2.04167e+03	1.38097e-08	1.00138e-09	9.88019e-02	2.98383e+03	2.40004e+02
5.51013e-01	2.12866e+04	2.09814e+03	1.42255e-08	6.43169e-10	9.85663e-02	2.99412e+03	2.40000e+02
3.44383e-01	2.19133e+04	2.17973e+03	1.46444e-08	4.17612e-10	9.94703e-02	3.00962e+03	2.39994e+02
2.15239e-01	2.25569e+04	2.25996e+03	1.50745e-08	2.70615e-10	1.00189e-01	3.03491e+03	2.39987e+02
1.34525e-01	2.32502e+04	2.35387e+03	1.55378e-08	1.76163e-10	1.01241e-01	3.05051e+03	2.39983e+02
1.00000e-01	2.37050e+04	2.41490e+03	1.58417e-08	1.34347e-10	1.01873e-01	3.07078e+03	2.39985e+02
