PMN (111) big, 29.1.2020, 16:30
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=5.778e+00  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	Tan(Delta)  	M Time M[s]	M Temp [K]
2.92041e+02	1.54292e+04	2.27871e+01	7.32455e-11	1.03111e-08	1.47689e-03	6.95439e+01	2.92041e+02
2.99478e+02	1.32829e+04	1.73174e+01	5.56637e-11	8.87676e-09	1.30374e-03	2.54718e+02	2.99478e+02
3.07608e+02	1.14141e+04	1.35517e+01	4.35598e-11	7.62791e-09	1.18728e-03	4.18527e+02	3.07608e+02
3.14862e+02	9.96956e+03	1.07283e+01	3.44844e-11	6.66252e-09	1.07611e-03	5.87388e+02	3.14862e+02
3.22592e+02	8.61004e+03	8.13568e+00	2.61508e-11	5.75397e-09	9.44906e-04	7.55652e+02	3.22592e+02
3.30727e+02	7.41461e+03	6.89378e+00	2.21589e-11	4.95508e-09	9.29756e-04	9.22175e+02	3.30727e+02
3.38715e+02	6.42121e+03	5.63387e+00	1.81091e-11	4.29121e-09	8.77384e-04	1.08844e+03	3.38715e+02
3.46936e+02	5.56024e+03	4.70856e+00	1.51349e-11	3.71583e-09	8.46826e-04	1.25802e+03	3.46936e+02
3.55093e+02	4.83944e+03	4.02717e+00	1.29447e-11	3.23413e-09	8.32156e-04	1.42797e+03	3.55093e+02
3.62741e+02	4.26203e+03	3.49089e+00	1.12209e-11	2.84826e-09	8.19067e-04	1.58953e+03	3.62741e+02
3.70672e+02	3.76081e+03	3.17545e+00	1.02069e-11	2.51329e-09	8.44352e-04	1.75091e+03	3.70672e+02
3.78243e+02	3.35229e+03	2.98250e+00	9.58676e-12	2.24029e-09	8.89691e-04	1.90867e+03	3.78243e+02
3.85978e+02	2.99404e+03	2.77851e+00	8.93105e-12	2.00088e-09	9.28012e-04	2.07128e+03	3.85978e+02
3.93848e+02	2.68094e+03	2.69446e+00	8.66091e-12	1.79163e-09	1.00505e-03	2.23415e+03	3.93848e+02
