PMN (111) big, 29.1.2020, 16:30
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=4.4553e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.53068e+03	2.33496e-05	9.13999e-03	4.47004e+02	1.39904e+01	1.02293e-09	5.19252e+03	6.87030e-01
1.87500e+06	1.53001e+03	1.00338e-05	6.28693e-03	4.46955e+02	9.61909e+00	1.02249e-09	5.19352e+03	8.14357e-01
7.32422e+05	1.52672e+03	1.34651e-06	2.16451e-03	4.46886e+02	3.30461e+00	1.02029e-09	5.19539e+03	9.82623e-01
4.57764e+05	1.53115e+03	6.31793e-07	1.62026e-03	4.46822e+02	2.48087e+00	1.02325e-09	5.19721e+03	9.96915e-01
2.86102e+05	1.53427e+03	3.11101e-07	1.27394e-03	4.46755e+02	1.95457e+00	1.02533e-09	5.19958e+03	1.00104e+00
1.78814e+05	1.53660e+03	1.49505e-07	9.78056e-04	4.46690e+02	1.50288e+00	1.02689e-09	5.20195e+03	1.00278e+00
1.11759e+05	1.53830e+03	7.62095e-08	7.96816e-04	4.46619e+02	1.22574e+00	1.02802e-09	5.20405e+03	1.00324e+00
6.98492e+04	1.54010e+03	3.56754e-08	5.96113e-04	4.46514e+02	9.18076e-01	1.02923e-09	5.20641e+03	1.00441e+00
4.36558e+04	1.54177e+03	1.76630e-08	4.71708e-04	4.46446e+02	7.27266e-01	1.03034e-09	5.20879e+03	1.00386e+00
2.72848e+04	1.54336e+03	8.94823e-09	3.81960e-04	4.46360e+02	5.89504e-01	1.03141e-09	5.21116e+03	1.00522e+00
1.70530e+04	1.54464e+03	4.78756e-09	3.26705e-04	4.46293e+02	5.04642e-01	1.03226e-09	5.21292e+03	1.00557e+00
1.06581e+04	1.54593e+03	2.91347e-09	3.17840e-04	4.46223e+02	4.91360e-01	1.03313e-09	5.21491e+03	1.00593e+00
6.66134e+03	1.54730e+03	1.73710e-09	3.02942e-04	4.46154e+02	4.68743e-01	1.03404e-09	5.21674e+03	1.00607e+00
4.16334e+03	1.54902e+03	1.04968e-09	2.92572e-04	4.46082e+02	4.53198e-01	1.03519e-09	5.21910e+03	1.00541e+00
2.60208e+03	1.55069e+03	7.04091e-10	3.13656e-04	4.46013e+02	4.86382e-01	1.03630e-09	5.22152e+03	1.00467e+00
1.62630e+03	1.55199e+03	4.48645e-10	3.19509e-04	4.45943e+02	4.95874e-01	1.03717e-09	5.22329e+03	1.00493e+00
1.01644e+03	1.55347e+03	3.21113e-10	3.65547e-04	4.45850e+02	5.67867e-01	1.03817e-09	5.22528e+03	1.00167e+00
6.35275e+02	1.55483e+03	2.26317e-10	4.11854e-04	4.45779e+02	6.40365e-01	1.03907e-09	5.22709e+03	1.00193e+00
3.97047e+02	1.55666e+03	1.58322e-10	4.60443e-04	4.45702e+02	7.16754e-01	1.04029e-09	5.22947e+03	1.00176e+00
2.48154e+02	1.55820e+03	1.12619e-10	5.23526e-04	4.45631e+02	8.15759e-01	1.04132e-09	5.23145e+03	1.00163e+00
1.55096e+02	1.55963e+03	7.93408e-11	5.89583e-04	4.45556e+02	9.19530e-01	1.04228e-09	5.23328e+03	1.00192e+00
9.69352e+01	1.56111e+03	5.62955e-11	6.68699e-04	4.45518e+02	1.04391e+00	1.04327e-09	5.23505e+03	1.00190e+00
6.05845e+01	1.56312e+03	4.04977e-11	7.68680e-04	4.45409e+02	1.20154e+00	1.04461e-09	5.23752e+03	1.00182e+00
