PMN_25um, 20.5.2021, 17:50
Fixed value(s) :  Freq. [Hz]=1.172e+06  AC Volt  [Vrms]=1.000e-01
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	 Zp' [Ohms]	 Sig'' [S/cm]	M Time M[s]	  Cp' [F]
2.99669e+02	4.09085e+03	4.24622e+03	2.76830e-03	1.03798e+00	2.87460e+01	-2.66635e-03	5.66411e+00	4.55169e-09
3.04526e+02	4.85472e+03	3.95006e+03	2.57522e-03	8.13654e-01	3.09012e+01	-3.16435e-03	1.93665e+02	5.40161e-09
3.10554e+02	4.77499e+03	3.66428e+03	2.38890e-03	7.67390e-01	3.33113e+01	-3.11237e-03	3.77853e+02	5.31290e-09
3.15638e+02	4.58623e+03	3.44659e+03	2.24699e-03	7.51509e-01	3.54152e+01	-2.98931e-03	5.62353e+02	5.10288e-09
3.20886e+02	4.53778e+03	3.18124e+03	2.07399e-03	7.01055e-01	3.83693e+01	-2.95773e-03	7.40587e+02	5.04897e-09
3.26282e+02	4.13790e+03	3.02974e+03	1.97522e-03	7.32193e-01	4.02878e+01	-2.69703e-03	9.08029e+02	4.60404e-09
3.31537e+02	4.12967e+03	2.76045e+03	1.79966e-03	6.68443e-01	4.42181e+01	-2.69166e-03	1.06569e+03	4.59488e-09
3.36849e+02	3.45084e+03	2.71894e+03	1.77260e-03	7.87907e-01	4.48931e+01	-2.24910e-03	1.22334e+03	3.83958e-09
3.42278e+02	2.44995e+03	2.59006e+03	1.68858e-03	1.05719e+00	4.71270e+01	-1.59658e-03	1.38566e+03	2.72594e-09
3.47729e+02	1.09766e+03	1.94967e+03	1.27107e-03	1.77620e+00	6.26065e+01	-7.14964e-04	1.54679e+03	1.22132e-09
3.53013e+02	2.75151e+02	7.17950e+02	4.68064e-04	2.60929e+00	1.70014e+02	-1.78731e-04	1.70466e+03	3.06148e-10
3.58182e+02	4.62920e+02	1.12017e+03	7.30288e-04	2.41979e+00	1.08967e+02	-3.01146e-04	1.85907e+03	5.15069e-10
