PMN_10um, 15.9.2021, 18:23
Fixed value(s) :  Temp. [K]=3.3743e+02  AC Volt  [Vrms]=1.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]
3.00000e+06	1.46348e+02	2.24563e+00	3.74791e-06	1.53444e-02	3.66378e-11	2.22135e+01	-1.44766e+03	3.38406e+02
1.87500e+06	1.46803e+02	2.12142e+00	2.21288e-06	1.44508e-02	3.67516e-11	3.33691e+01	-2.30915e+03	3.38346e+02
1.17188e+06	1.47544e+02	2.35868e+00	1.53773e-06	1.59863e-02	3.69371e-11	5.87642e+01	-3.67591e+03	3.38285e+02
7.32422e+05	1.48271e+02	2.57087e+00	1.04754e-06	1.73390e-02	3.71191e-11	1.01474e+02	-5.85236e+03	3.38257e+02
4.57764e+05	1.49072e+02	2.81145e+00	7.15981e-07	1.88597e-02	3.73197e-11	1.75639e+02	-9.31292e+03	3.38183e+02
2.86102e+05	1.49914e+02	3.08695e+00	4.91337e-07	2.05915e-02	3.75304e-11	3.05083e+02	-1.48160e+04	3.38121e+02
1.78814e+05	1.50886e+02	3.37106e+00	3.35349e-07	2.23418e-02	3.77738e-11	5.26173e+02	-2.35511e+04	3.38058e+02
1.11759e+05	1.51858e+02	3.70908e+00	2.30609e-07	2.44246e-02	3.80172e-11	9.14380e+02	-3.74368e+04	3.37996e+02
6.98492e+04	1.52952e+02	4.08928e+00	1.58905e-07	2.67358e-02	3.82909e-11	1.58981e+03	-5.94638e+04	3.37965e+02
4.36558e+04	1.54148e+02	4.52521e+00	1.09903e-07	2.93563e-02	3.85904e-11	2.77093e+03	-9.43898e+04	3.37840e+02
2.72848e+04	1.55474e+02	5.02883e+00	7.63339e-08	3.23452e-02	3.89224e-11	4.84233e+03	-1.49708e+05	3.37759e+02
1.70530e+04	1.56939e+02	5.62816e+00	5.33946e-08	3.58620e-02	3.92892e-11	8.50789e+03	-2.37239e+05	3.37690e+02
1.06581e+04	1.58510e+02	6.34405e+00	3.76164e-08	4.00229e-02	3.96825e-11	1.50367e+04	-3.75702e+05	3.37623e+02
6.66134e+03	1.60272e+02	7.18467e+00	2.66255e-08	4.48281e-02	4.01234e-11	2.66403e+04	-5.94277e+05	3.37587e+02
4.16334e+03	1.62221e+02	8.35379e+00	1.93488e-08	5.14962e-02	4.06115e-11	4.83453e+04	-9.38813e+05	3.37444e+02
2.60208e+03	1.64364e+02	9.74277e+00	1.41037e-08	5.92757e-02	4.11479e-11	8.78019e+04	-1.48125e+06	3.37383e+02
1.62630e+03	1.66818e+02	1.17732e+01	1.06519e-08	7.05753e-02	4.17624e-11	1.64562e+05	-2.33172e+06	3.37325e+02
1.01644e+03	1.69461e+02	1.45271e+01	8.21465e-09	8.57250e-02	4.24241e-11	3.14089e+05	-3.66392e+06	3.37274e+02
6.35275e+02	1.72504e+02	1.84072e+01	6.50545e-09	1.06705e-01	4.31859e-11	6.12048e+05	-5.73587e+06	3.37249e+02
3.97047e+02	1.75861e+02	2.38835e+01	5.27557e-09	1.35809e-01	4.40261e-11	1.21412e+06	-8.93986e+06	3.37202e+02
2.48154e+02	1.79398e+02	3.18482e+01	4.39679e-09	1.77528e-01	4.49117e-11	2.45771e+06	-1.38440e+07	3.37157e+02
1.55096e+02	1.83227e+02	4.45346e+01	3.84263e-09	2.43058e-01	4.58702e-11	5.13417e+06	-2.11232e+07	3.37114e+02
9.69352e+01	1.87712e+02	6.44890e+01	3.47774e-09	3.43554e-01	4.69930e-11	1.07361e+07	-3.12502e+07	3.37079e+02
6.05845e+01	1.94165e+02	1.02228e+02	3.44557e-09	5.26501e-01	4.86086e-11	2.22784e+07	-4.23141e+07	3.37045e+02
3.78653e+01	2.02518e+02	1.46902e+02	3.09456e-09	7.25379e-01	5.06997e-11	3.94034e+07	-5.43212e+07	3.37001e+02
2.36658e+01	2.17664e+02	2.25721e+02	2.97182e-09	1.03702e+00	5.44914e-11	6.16671e+07	-5.94658e+07	3.36970e+02
1.47911e+01	2.54608e+02	3.50165e+02	2.88140e-09	1.37531e+00	6.37402e-11	8.02945e+07	-5.83827e+07	3.36949e+02
9.24446e+00	3.29806e+02	5.39941e+02	2.77688e-09	1.63715e+00	8.25659e-11	9.27573e+07	-5.66579e+07	3.36933e+02
5.77779e+00	4.92540e+02	7.82770e+02	2.51608e-09	1.58925e+00	1.23306e-10	1.00698e+08	-6.33618e+07	3.36926e+02
3.61112e+00	7.79003e+02	1.03303e+03	2.07531e-09	1.32609e+00	1.95021e-10	1.08641e+08	-8.19260e+07	3.36903e+02
2.25695e+00	1.13035e+03	1.19028e+03	1.49451e-09	1.05302e+00	2.82978e-10	1.24433e+08	-1.18167e+08	3.36892e+02
1.41059e+00	1.54761e+03	1.25909e+03	9.88073e-10	8.13573e-01	3.87439e-10	1.42563e+08	-1.75231e+08	3.36886e+02
8.81621e-01	2.03902e+03	1.14208e+03	5.60156e-10	5.60115e-01	5.10462e-10	1.50781e+08	-2.69197e+08	3.36900e+02
5.51013e-01	2.32068e+03	1.01100e+03	3.09914e-10	4.35647e-01	5.80974e-10	1.82040e+08	-4.17861e+08	3.36940e+02
3.44383e-01	2.56461e+03	8.07931e+02	1.54791e-10	3.15031e-01	6.42041e-10	2.06289e+08	-6.54819e+08	3.37059e+02
2.15239e-01	2.68838e+03	7.46320e+02	8.93668e-11	2.77610e-01	6.73026e-10	2.83177e+08	-1.02005e+09	3.37239e+02
1.34525e-01	2.80666e+03	6.76599e+02	5.06364e-11	2.41069e-01	7.02638e-10	3.83615e+08	-1.59131e+09	3.37353e+02
1.00000e-01	2.85667e+03	7.41613e+02	4.12578e-11	2.59607e-01	7.15159e-10	5.41263e+08	-2.08493e+09	3.37095e+02
