PMN (111) big, 22.5.2019, 11:56
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.4500e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	6.88128e+03	3.98535e-03	3.47014e-01	2.45054e+02	2.38790e+03	4.59866e-09	1.28678e+04	2.03841e-01
1.87500e+06	7.50344e+03	2.28522e-03	2.91969e-01	2.45049e+02	2.19077e+03	5.01445e-09	1.28688e+04	2.79985e-01
1.17188e+06	8.07608e+03	1.31468e-03	2.49694e-01	2.45045e+02	2.01655e+03	5.39713e-09	1.28705e+04	3.08103e-01
7.32422e+05	8.64664e+03	7.77597e-04	2.20707e-01	2.45040e+02	1.90838e+03	5.77843e-09	1.28715e+04	5.24487e-01
4.57764e+05	9.17308e+03	4.65248e-04	1.99158e-01	2.45040e+02	1.82690e+03	6.13024e-09	1.28724e+04	6.81437e-01
2.86102e+05	9.68321e+03	2.81858e-04	1.82878e-01	2.45036e+02	1.77084e+03	6.47116e-09	1.28735e+04	8.05615e-01
1.78814e+05	1.01878e+04	1.72825e-04	1.70527e-01	2.45035e+02	1.73731e+03	6.80840e-09	1.28747e+04	8.89291e-01
1.11759e+05	1.06892e+04	1.06999e-04	1.60999e-01	2.45033e+02	1.72095e+03	7.14344e-09	1.28756e+04	9.39008e-01
6.98492e+04	1.11909e+04	6.66789e-05	1.53332e-01	2.45030e+02	1.71592e+03	7.47874e-09	1.28771e+04	9.67904e-01
4.36558e+04	1.16952e+04	4.17589e-05	1.47018e-01	2.45025e+02	1.71940e+03	7.81574e-09	1.28787e+04	9.82711e-01
2.72848e+04	1.22038e+04	2.62527e-05	1.41719e-01	2.45022e+02	1.72951e+03	8.15564e-09	1.28802e+04	9.92540e-01
1.70530e+04	1.27216e+04	1.65564e-05	1.37180e-01	2.45020e+02	1.74515e+03	8.50169e-09	1.28814e+04	9.97733e-01
1.06581e+04	1.32428e+04	1.04619e-05	1.33236e-01	2.45018e+02	1.76442e+03	8.85001e-09	1.28823e+04	1.00094e+00
6.66134e+03	1.37704e+04	6.62111e-06	1.29746e-01	2.45014e+02	1.78665e+03	9.20255e-09	1.28839e+04	1.00282e+00
4.16334e+03	1.43061e+04	4.19662e-06	1.26650e-01	2.45013e+02	1.81188e+03	9.56059e-09	1.28854e+04	1.00326e+00
2.60208e+03	1.48488e+04	2.66327e-06	1.23901e-01	2.45009e+02	1.83977e+03	9.92322e-09	1.28870e+04	1.00327e+00
1.62630e+03	1.54032e+04	1.69478e-06	1.21611e-01	2.45007e+02	1.87319e+03	1.02937e-08	1.28880e+04	1.00404e+00
1.01644e+03	1.59353e+04	1.06402e-06	1.18080e-01	2.45007e+02	1.88164e+03	1.06493e-08	1.28891e+04	1.00143e+00
6.35275e+02	1.65090e+04	6.79887e-07	1.16526e-01	2.45005e+02	1.92374e+03	1.10328e-08	1.28900e+04	1.00179e+00
3.97047e+02	1.70903e+04	4.33957e-07	1.14955e-01	2.45002e+02	1.96461e+03	1.14212e-08	1.28915e+04	1.00167e+00
2.48154e+02	1.75809e+04	2.83688e-07	1.16883e-01	2.44999e+02	2.05490e+03	1.17491e-08	1.28929e+04	1.00160e+00
1.55096e+02	1.82564e+04	1.76440e-07	1.12009e-01	2.44998e+02	2.04487e+03	1.22005e-08	1.28944e+04	1.00190e+00
9.69352e+01	1.88733e+04	1.12812e-07	1.10840e-01	2.44996e+02	2.09192e+03	1.26128e-08	1.28960e+04	1.00190e+00
6.05845e+01	1.95166e+04	7.22110e-08	1.09776e-01	2.44995e+02	2.14246e+03	1.30427e-08	1.28976e+04	1.00184e+00
3.78653e+01	2.01618e+04	4.62313e-08	1.08852e-01	2.44994e+02	2.19465e+03	1.34738e-08	1.28985e+04	1.00184e+00
2.36658e+01	2.08226e+04	2.96267e-08	1.08068e-01	2.44991e+02	2.25026e+03	1.39154e-08	1.29000e+04	1.00186e+00
1.47911e+01	2.14812e+04	1.89395e-08	1.07147e-01	2.44990e+02	2.30164e+03	1.43556e-08	1.29013e+04	1.00189e+00
9.24446e+00	2.21775e+04	1.21690e-08	1.06692e-01	2.44987e+02	2.36615e+03	1.48209e-08	1.29030e+04	1.00190e+00
5.77779e+00	2.29076e+04	7.82715e-09	1.06300e-01	2.44986e+02	2.43508e+03	1.53088e-08	1.29046e+04	1.00190e+00
3.61112e+00	2.36420e+04	5.03237e-09	1.05954e-01	2.44983e+02	2.50497e+03	1.57996e-08	1.29061e+04	1.00189e+00
2.25695e+00	2.43978e+04	3.23654e-09	1.05652e-01	2.44981e+02	2.57768e+03	1.63047e-08	1.29078e+04	1.00190e+00
1.41059e+00	2.51473e+04	2.07307e-09	1.05049e-01	2.44977e+02	2.64169e+03	1.68056e-08	1.29100e+04	1.00193e+00
8.81621e-01	2.59444e+04	1.33413e-09	1.04844e-01	2.44974e+02	2.72012e+03	1.73383e-08	1.29139e+04	1.00197e+00
5.51013e-01	2.67616e+04	8.57835e-10	1.04568e-01	2.44970e+02	2.79842e+03	1.78844e-08	1.29178e+04	1.00199e+00
3.44383e-01	2.76199e+04	5.51447e-10	1.04210e-01	2.44959e+02	2.87828e+03	1.84580e-08	1.29269e+04	1.00202e+00
2.15239e-01	2.84755e+04	3.53676e-10	1.03725e-01	2.44947e+02	2.95362e+03	1.90298e-08	1.29413e+04	1.00206e+00
1.34525e-01	2.93001e+04	2.25707e-10	1.02931e-01	2.44938e+02	3.01588e+03	1.95809e-08	1.29583e+04	1.00209e+00
1.00000e-01	2.98521e+04	1.69884e-10	1.02294e-01	2.44929e+02	3.05368e+03	1.99497e-08	1.29785e+04	1.00215e+00
5.55556e-02	3.09778e+04	9.67988e-11	1.01103e-01	2.44931e+02	3.13194e+03	2.07020e-08	1.30329e+04	1.00219e+00
3.08642e-02	3.21535e+04	5.47077e-11	9.90914e-02	2.44963e+02	3.18614e+03	2.14878e-08	1.31306e+04	1.00225e+00
1.71468e-02	3.33410e+04	3.06155e-11	9.62611e-02	2.45027e+02	3.20944e+03	2.22813e-08	1.33060e+04	1.00231e+00
9.52599e-03	3.44247e+04	1.70234e-11	9.33121e-02	2.44994e+02	3.21224e+03	2.30056e-08	1.35166e+04	1.00233e+00
5.29221e-03	3.55347e+04	9.34762e-12	8.93473e-02	2.45014e+02	3.17493e+03	2.37474e-08	1.40840e+04	1.00232e+00
2.94012e-03	3.65735e+04	5.09445e-12	8.51602e-02	2.44992e+02	3.11460e+03	2.44415e-08	1.51051e+04	1.00239e+00
1.63340e-03	3.75400e+04	2.75183e-12	8.06687e-02	2.44999e+02	3.02831e+03	2.50875e-08	1.69478e+04	1.00238e+00
1.00000e-03	3.83797e+04	1.64072e-12	7.68427e-02	2.45003e+02	2.94920e+03	2.56487e-08	1.89532e+04	1.00238e+00
