PMN_10um, 22.9.2021, 16:45
Fixed value(s) :  Temp. [K]=2.9569e+02  AC Volt  [Vrms]=1.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]
3.00000e+06	2.97173e+02	2.89441e+02	4.83071e-04	9.73984e-01	7.43962e-11	3.56424e+02	-3.65945e+02	2.95741e+02
1.87500e+06	3.53055e+02	4.52909e+02	4.72434e-04	1.28283e+00	8.83862e-11	4.65662e+02	-3.62997e+02	2.95742e+02
1.17188e+06	4.75157e+02	6.68648e+02	4.35921e-04	1.40721e+00	1.18954e-10	5.39097e+02	-3.83096e+02	2.95742e+02
7.32422e+05	7.32230e+02	9.31204e+02	3.79433e-04	1.27174e+00	1.83311e-10	5.75985e+02	-4.52912e+02	2.95741e+02
4.57764e+05	1.16157e+03	1.13141e+03	2.88132e-04	9.74038e-01	2.90795e-10	5.97601e+02	-6.13529e+02	2.95739e+02
2.86102e+05	1.71306e+03	1.12966e+03	1.79804e-04	6.59439e-01	4.28859e-10	5.96141e+02	-9.04013e+02	2.95737e+02
1.78814e+05	2.13335e+03	9.40306e+02	9.35405e-05	4.40766e-01	5.34076e-10	6.15063e+02	-1.39544e+03	2.95739e+02
1.11759e+05	2.39462e+03	6.90733e+02	4.29458e-05	2.88452e-01	5.99486e-10	6.32590e+02	-2.19306e+03	2.95740e+02
6.98492e+04	2.52736e+03	4.85709e+02	1.88741e-05	1.92180e-01	6.32717e-10	6.67432e+02	-3.47295e+03	2.95737e+02
4.36558e+04	2.59661e+03	3.34728e+02	8.12949e-06	1.28910e-01	6.50052e-10	7.11147e+02	-5.51662e+03	2.95736e+02
2.72848e+04	2.63618e+03	2.26060e+02	3.43142e-06	8.57528e-02	6.59959e-10	7.52398e+02	-8.77404e+03	2.95737e+02
1.70530e+04	2.66035e+03	1.60365e+02	1.52139e-06	6.02797e-02	6.66009e-10	8.41655e+02	-1.39625e+04	2.95735e+02
1.06581e+04	2.67855e+03	1.20599e+02	7.15078e-07	4.50239e-02	6.70566e-10	1.00060e+03	-2.22238e+04	2.95734e+02
6.66134e+03	2.69452e+03	9.49172e+01	3.51751e-07	3.52261e-02	6.74563e-10	1.24613e+03	-3.53751e+04	2.95734e+02
4.16334e+03	2.70969e+03	7.87058e+01	1.82296e-07	2.90461e-02	6.78362e-10	1.63545e+03	-5.63055e+04	2.95732e+02
2.60208e+03	2.72446e+03	6.76022e+01	9.78614e-08	2.48131e-02	6.82059e-10	2.22377e+03	-8.96209e+04	2.95731e+02
1.62630e+03	2.73852e+03	6.04535e+01	5.46956e-08	2.20753e-02	6.85579e-10	3.14961e+03	-1.42676e+05	2.95729e+02
1.01644e+03	2.75277e+03	5.55151e+01	3.13922e-08	2.01670e-02	6.89146e-10	4.58028e+03	-2.27117e+05	2.95726e+02
6.35275e+02	2.76681e+03	5.23835e+01	1.85134e-08	1.89328e-02	6.92661e-10	6.84539e+03	-3.61562e+05	2.95727e+02
3.97047e+02	2.78052e+03	5.03422e+01	1.11199e-08	1.81053e-02	6.96093e-10	1.04226e+04	-5.75664e+05	2.95725e+02
2.48154e+02	2.79419e+03	4.91350e+01	6.78332e-09	1.75847e-02	6.99517e-10	1.61176e+04	-9.16571e+05	2.95724e+02
1.55096e+02	2.80779e+03	4.84512e+01	4.18057e-09	1.72560e-02	7.02922e-10	2.51838e+04	-1.45943e+06	2.95723e+02
9.69352e+01	2.82118e+03	4.82883e+01	2.60407e-09	1.71164e-02	7.06273e-10	3.97787e+04	-2.32401e+06	2.95721e+02
6.05845e+01	2.83471e+03	4.87217e+01	1.64215e-09	1.71875e-02	7.09660e-10	6.36053e+04	-3.70066e+06	2.95721e+02
3.78653e+01	2.84834e+03	4.97277e+01	1.04754e-09	1.74585e-02	7.13073e-10	1.02877e+05	-5.89267e+06	2.95719e+02
2.36658e+01	2.86232e+03	5.13619e+01	6.76226e-10	1.79441e-02	7.16573e-10	1.68353e+05	-9.38206e+06	2.95719e+02
1.47911e+01	2.87682e+03	5.37330e+01	4.42152e-10	1.86779e-02	7.20202e-10	2.78959e+05	-1.49353e+07	2.95716e+02
9.24446e+00	2.89219e+03	5.70329e+01	2.93317e-10	1.97196e-02	7.24050e-10	4.68705e+05	-2.37684e+07	2.95715e+02
5.77779e+00	2.90823e+03	6.08896e+01	1.95719e-10	2.09370e-02	7.28066e-10	7.91792e+05	-3.78179e+07	2.95714e+02
3.61112e+00	2.92570e+03	6.59294e+01	1.32449e-10	2.25345e-02	7.32440e-10	1.35530e+06	-6.01431e+07	2.95707e+02
2.25695e+00	2.94348e+03	7.22563e+01	9.07249e-11	2.45479e-02	7.36889e-10	2.34774e+06	-9.56389e+07	2.95703e+02
1.41059e+00	2.96401e+03	8.04193e+01	6.31090e-11	2.71320e-02	7.42029e-10	4.12249e+06	-1.51942e+08	2.95697e+02
8.81621e-01	2.98685e+03	8.81376e+01	4.32287e-11	2.95086e-02	7.47748e-10	7.11792e+06	-2.41215e+08	2.95693e+02
5.51013e-01	3.01224e+03	1.03395e+02	3.16950e-11	3.43250e-02	7.54103e-10	1.31319e+07	-3.82575e+08	2.95679e+02
3.44383e-01	3.03797e+03	1.18259e+02	2.26572e-11	3.89272e-02	7.60545e-10	2.36183e+07	-6.06730e+08	2.95642e+02
2.15239e-01	3.06991e+03	1.36490e+02	1.63438e-11	4.44606e-02	7.68542e-10	4.26921e+07	-9.60225e+08	2.95581e+02
1.34525e-01	3.10298e+03	1.59074e+02	1.19050e-11	5.12648e-02	7.76821e-10	7.78712e+07	-1.51900e+09	2.95368e+02
1.00000e-01	3.12595e+03	1.76065e+02	9.79492e-12	5.63235e-02	7.82572e-10	1.14185e+08	-2.02731e+09	2.94968e+02
