PMN_9um, 15.6.2022, 13:44
Diameter[mm] 5.710e-01  Thickness[mm] 9.000e-03  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9517e+02  AC Volt  [Vrms]=1.000e-02
 Freq. [Hz]	 Eps'    	 Eps''   	Tan(Delta)  	 Zp' [Ohms]	 Zp'' [Ohms]	M Temp [K]	M |AcV| [Vrms]	M Time M[s]
1.00000e+06	3.29961e+03	6.98622e+02	2.11729e-01	9.04292e+02	1.91465e+02	2.95149e+02	9.38550e-03	5.26787e+00
6.25000e+05	3.41633e+03	4.85367e+02	1.42073e-01	2.08258e+03	2.95877e+02	2.95150e+02	9.83434e-03	7.07533e+00
3.90625e+05	3.48283e+03	3.41779e+02	9.81324e-02	4.73201e+03	4.64364e+02	2.95152e+02	1.00785e-02	8.90665e+00
2.44141e+05	3.50800e+03	2.45823e+02	7.00750e-02	1.05266e+04	7.37652e+02	2.95153e+02	1.01591e-02	1.07278e+01
1.52588e+05	3.54124e+03	1.87119e+02	5.28398e-02	2.21265e+04	1.16916e+03	2.95156e+02	1.02035e-02	1.26344e+01
9.53674e+04	3.56961e+03	1.49660e+02	4.19262e-02	4.42634e+04	1.85580e+03	2.95157e+02	1.01818e-02	1.44219e+01
5.96046e+04	3.59581e+03	1.26606e+02	3.52092e-02	8.37179e+04	2.94764e+03	2.95159e+02	1.01754e-02	1.62996e+01
3.72529e+04	3.62203e+03	1.12499e+02	3.10596e-02	1.50745e+05	4.68209e+03	2.95160e+02	1.01705e-02	1.82015e+01
2.32831e+04	3.64793e+03	1.04083e+02	2.85320e-02	2.60695e+05	7.43814e+03	2.95160e+02	1.02475e-02	1.99946e+01
1.45519e+04	3.67404e+03	9.93182e+01	2.70324e-02	4.37121e+05	1.18164e+04	2.95163e+02	1.01951e-02	2.18134e+01
9.09495e+03	3.70083e+03	9.73362e+01	2.63012e-02	7.13636e+05	1.87695e+04	2.95166e+02	1.02149e-02	2.41871e+01
5.68434e+03	3.72699e+03	9.69034e+01	2.60004e-02	1.14692e+06	2.98203e+04	2.95166e+02	1.01916e-02	2.65730e+01
3.55271e+03	3.75416e+03	9.74775e+01	2.59652e-02	1.82426e+06	4.73672e+04	2.95166e+02	1.01883e-02	2.85744e+01
2.22045e+03	3.78097e+03	9.87628e+01	2.61211e-02	2.88083e+06	7.52503e+04	2.95168e+02	1.01997e-02	3.03813e+01
1.38778e+03	3.80946e+03	1.02326e+02	2.68611e-02	4.44881e+06	1.19500e+05	2.95169e+02	1.01261e-02	3.21867e+01
8.67362e+02	3.83823e+03	1.06685e+02	2.77953e-02	6.82730e+06	1.89767e+05	2.95172e+02	1.01625e-02	3.46310e+01
5.42101e+02	3.86833e+03	1.12837e+02	2.91694e-02	1.03281e+07	3.01264e+05	2.95172e+02	1.01637e-02	3.64356e+01
3.38813e+02	3.89993e+03	1.20903e+02	3.10013e-02	1.54224e+07	4.78116e+05	2.95173e+02	1.01692e-02	3.83667e+01
2.11758e+02	3.93375e+03	1.31522e+02	3.34341e-02	2.26837e+07	7.58410e+05	2.95175e+02	1.01239e-02	4.02022e+01
1.32349e+02	3.97046e+03	1.45529e+02	3.66531e-02	3.28005e+07	1.20224e+06	2.95176e+02	1.01381e-02	4.20064e+01
8.27181e+01	4.01142e+03	1.63545e+02	4.07700e-02	4.66996e+07	1.90394e+06	2.95178e+02	1.01370e-02	4.45093e+01
5.16988e+01	4.05985e+03	1.86333e+02	4.58965e-02	6.55816e+07	3.00996e+06	2.95181e+02	1.01312e-02	4.63067e+01
3.23117e+01	4.11542e+03	2.11039e+02	5.12800e-02	9.26465e+07	4.75091e+06	2.95183e+02	1.01338e-02	4.82905e+01
2.01948e+01	4.18041e+03	2.36075e+02	5.64718e-02	1.32514e+08	7.48328e+06	2.95183e+02	1.01324e-02	5.02008e+01
1.26218e+01	4.25209e+03	2.60713e+02	6.13140e-02	1.91986e+08	1.17714e+07	2.95185e+02	1.01336e-02	5.21981e+01
7.88861e+00	4.33165e+03	2.88381e+02	6.65753e-02	2.77705e+08	1.84883e+07	2.95186e+02	1.01366e-02	5.42533e+01
4.93038e+00	4.41325e+03	3.22637e+02	7.31065e-02	3.97152e+08	2.90344e+07	2.95187e+02	1.01336e-02	5.62856e+01
3.08149e+00	4.50520e+03	3.64596e+02	8.09278e-02	5.62314e+08	4.55069e+07	2.95190e+02	1.01323e-02	6.13263e+01
1.92593e+00	4.60638e+03	4.10248e+02	8.90609e-02	7.99584e+08	7.12117e+07	2.95194e+02	1.01338e-02	6.50784e+01
1.20371e+00	4.73559e+03	4.66107e+02	9.84264e-02	1.12602e+09	1.10830e+08	2.95196e+02	1.01355e-02	6.94263e+01
7.52316e-01	4.85734e+03	5.33304e+02	1.09793e-01	1.57462e+09	1.72883e+08	2.95198e+02	1.01326e-02	7.67594e+01
4.70198e-01	5.01132e+03	6.12819e+02	1.22287e-01	2.19249e+09	2.68113e+08	2.95201e+02	1.01312e-02	8.56913e+01
2.93874e-01	5.17806e+03	6.90811e+02	1.33411e-01	3.11194e+09	4.15168e+08	2.95198e+02	1.01330e-02	1.03202e+02
1.83671e-01	5.35908e+03	7.83063e+02	1.46119e-01	4.39252e+09	6.41831e+08	2.95181e+02	1.01342e-02	1.25444e+02
1.00000e-01	5.60302e+03	8.91139e+02	1.59046e-01	7.08934e+09	1.12753e+09	2.95092e+02	1.01351e-02	1.72154e+02
