PMN big (111), 12.2.2020, 11:41
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=4.4998e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Eps''   	  Cp' [F]	Tan(Delta)  
3.00000e+06	1.44519e+03	8.60453e+01	9.65801e-10	5.95390e-02
1.87500e+06	1.44910e+03	5.50633e+01	9.68412e-10	3.79983e-02
1.17188e+06	1.44807e+03	3.40093e+01	9.67723e-10	2.34860e-02
7.32422e+05	1.45047e+03	2.17205e+01	9.69327e-10	1.49748e-02
4.57764e+05	1.45403e+03	1.41955e+01	9.71710e-10	9.76283e-03
2.86102e+05	1.45598e+03	9.54405e+00	9.73009e-10	6.55509e-03
1.78814e+05	1.45707e+03	6.62556e+00	9.73739e-10	4.54718e-03
1.11759e+05	1.45783e+03	4.89681e+00	9.74246e-10	3.35898e-03
6.98492e+04	1.45851e+03	3.81254e+00	9.74700e-10	2.61401e-03
4.36558e+04	1.45929e+03	3.15754e+00	9.75223e-10	2.16375e-03
2.72848e+04	1.46008e+03	2.75230e+00	9.75754e-10	1.88503e-03
1.70530e+04	1.46080e+03	2.52543e+00	9.76231e-10	1.72880e-03
1.06581e+04	1.46151e+03	2.39874e+00	9.76708e-10	1.64127e-03
6.66134e+03	1.46224e+03	2.26898e+00	9.77197e-10	1.55171e-03
4.16334e+03	1.46308e+03	2.15697e+00	9.77756e-10	1.47427e-03
2.60208e+03	1.46380e+03	2.05029e+00	9.78237e-10	1.40067e-03
1.62630e+03	1.46438e+03	1.99233e+00	9.78627e-10	1.36053e-03
1.01644e+03	1.46494e+03	1.95487e+00	9.78996e-10	1.33444e-03
6.35275e+02	1.46560e+03	1.95083e+00	9.79439e-10	1.33108e-03
3.97047e+02	1.46624e+03	1.97027e+00	9.79867e-10	1.34376e-03
2.48154e+02	1.46687e+03	2.02232e+00	9.80288e-10	1.37867e-03
1.55096e+02	1.46749e+03	2.09846e+00	9.80703e-10	1.42996e-03
9.69352e+01	1.46820e+03	2.17590e+00	9.81180e-10	1.48202e-03
6.05845e+01	1.46885e+03	2.31211e+00	9.81614e-10	1.57410e-03
3.78653e+01	1.46954e+03	2.46918e+00	9.82073e-10	1.68024e-03
2.36658e+01	1.47021e+03	2.67267e+00	9.82524e-10	1.81788e-03
1.47911e+01	1.47100e+03	2.92016e+00	9.83049e-10	1.98516e-03
9.24446e+00	1.47195e+03	3.22726e+00	9.83686e-10	2.19251e-03
5.77779e+00	1.47293e+03	3.60099e+00	9.84342e-10	2.44477e-03
3.61112e+00	1.47409e+03	4.06908e+00	9.85113e-10	2.76040e-03
2.25695e+00	1.47539e+03	4.53800e+00	9.85983e-10	3.07579e-03
1.41059e+00	1.47678e+03	5.24769e+00	9.86912e-10	3.55347e-03
8.81621e-01	1.47840e+03	6.03100e+00	9.87997e-10	4.07940e-03
5.51013e-01	1.48014e+03	6.98435e+00	9.89156e-10	4.71872e-03
3.44383e-01	1.48227e+03	8.25597e+00	9.90582e-10	5.56980e-03
2.15239e-01	1.48470e+03	9.94626e+00	9.92203e-10	6.69919e-03
1.34525e-01	1.48782e+03	1.22346e+01	9.94293e-10	8.22316e-03
1.00000e-01	1.48984e+03	1.39278e+01	9.95639e-10	9.34853e-03
