PMN_25um, 20.5.2021, 17:50
Fixed value(s) :  Temp. [K]=3.1165e+02  AC Volt  [Vrms]=1.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	 Zp' [Ohms]	 Sig'' [S/cm]	M Time M[s]	  Cp' [F]
3.00000e+06	1.59472e+03	3.09666e+03	5.16825e-03	1.94182e+00	1.53974e+01	-2.65989e-03	3.75167e+02	1.77437e-09
1.87500e+06	3.05399e+03	3.72272e+03	3.88321e-03	1.21897e+00	2.04927e+01	-3.18461e-03	3.76203e+02	3.39803e-09
1.17188e+06	4.77499e+03	3.66428e+03	2.38890e-03	7.67390e-01	3.33113e+01	-3.11237e-03	3.77853e+02	5.31290e-09
7.32422e+05	6.17687e+03	2.99219e+03	1.21921e-03	4.84419e-01	6.52695e+01	-2.51645e-03	3.78902e+02	6.87270e-09
4.57764e+05	6.98671e+03	2.14956e+03	5.47420e-04	3.07665e-01	1.45368e+02	-1.77902e-03	3.80035e+02	7.77378e-09
2.86102e+05	7.38887e+03	1.45181e+03	2.31079e-04	1.96486e-01	3.44373e+02	-1.17590e-03	3.81166e+02	8.22124e-09
1.78814e+05	7.57787e+03	9.59215e+02	9.54216e-05	1.26581e-01	8.33957e+02	-7.53738e-04	3.82350e+02	8.43153e-09
1.11759e+05	7.64101e+03	6.33705e+02	3.94002e-05	8.29348e-02	2.01972e+03	-4.75012e-04	3.84769e+02	8.50178e-09
6.98492e+04	7.68720e+03	4.26459e+02	1.65717e-05	5.54765e-02	4.80200e+03	-2.98677e-04	3.87229e+02	8.55318e-09
4.36558e+04	7.71526e+03	2.96482e+02	7.20061e-06	3.84280e-02	1.10515e+04	-1.87355e-04	3.90033e+02	8.58440e-09
2.72848e+04	7.73653e+03	2.14075e+02	3.24949e-06	2.76706e-02	2.44892e+04	-1.17420e-04	3.92642e+02	8.60806e-09
1.70530e+04	7.75478e+03	1.62528e+02	1.54191e-06	2.09585e-02	5.16096e+04	-7.35604e-05	3.95224e+02	8.62837e-09
1.06581e+04	7.77290e+03	1.28389e+02	7.61272e-07	1.65176e-02	1.04532e+05	-4.60827e-05	3.97716e+02	8.64853e-09
6.66134e+03	7.78993e+03	1.09248e+02	4.04861e-07	1.40243e-02	1.96555e+05	-2.88648e-05	3.99532e+02	8.66748e-09
