m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Eps''   	 |Eps|  	 Modulus'  	 Modulus''  	|Modulus| 	 Sig' [S/cm]	 Sig'' [S/cm]
1.00000e+05	3.77290e+01	1.35795e+00	3.77535e+01	2.64705e-02	9.52727e-04	2.64876e-02	7.55460e-08	-2.04333e-06
6.25000e+04	3.80864e+01	1.61306e+00	3.81205e+01	2.62091e-02	1.11002e-03	2.62326e-02	5.60867e-08	-1.28951e-06
3.90625e+04	3.85026e+01	1.95908e+00	3.85524e+01	2.59052e-02	1.31811e-03	2.59387e-02	4.25738e-08	-8.14987e-07
2.44141e+04	3.90429e+01	2.42130e+00	3.91179e+01	2.55147e-02	1.58234e-03	2.55638e-02	3.28866e-08	-5.16705e-07
1.52588e+04	3.97216e+01	3.00284e+00	3.98349e+01	2.50322e-02	1.89236e-03	2.51036e-02	2.54907e-08	-3.28702e-07
9.53674e+03	4.05981e+01	3.70345e+00	4.07666e+01	2.44284e-02	2.22842e-03	2.45299e-02	1.96488e-08	-2.10089e-07
5.96046e+03	4.17046e+01	4.51443e+00	4.19482e+01	2.37005e-02	2.56553e-03	2.38389e-02	1.49697e-08	-1.34975e-07
3.72529e+03	4.30706e+01	5.42193e+00	4.34105e+01	2.28555e-02	2.87716e-03	2.30359e-02	1.12368e-08	-8.71902e-08
2.32831e+03	4.47479e+01	6.42415e+00	4.52066e+01	2.18961e-02	3.14348e-03	2.21206e-02	8.32118e-09	-5.66665e-08
1.45519e+03	4.66873e+01	7.51800e+00	4.72888e+01	2.08777e-02	3.36191e-03	2.11467e-02	6.08628e-09	-3.69867e-08
9.09495e+02	4.89415e+01	8.74239e+00	4.97162e+01	1.98007e-02	3.53699e-03	2.01142e-02	4.42343e-09	-2.42572e-08
5.68434e+02	5.14839e+01	1.01386e+01	5.24726e+01	1.86984e-02	3.68224e-03	1.90575e-02	3.20617e-09	-1.59647e-08
3.55271e+02	5.43605e+01	1.18132e+01	5.56292e+01	1.75662e-02	3.81733e-03	1.79762e-02	2.33483e-09	-1.05465e-08
2.22045e+02	5.76101e+01	1.38863e+01	5.92601e+01	1.64049e-02	3.95425e-03	1.68748e-02	1.71537e-09	-6.99300e-09
1.38778e+02	6.13151e+01	1.65299e+01	6.35041e+01	1.52042e-02	4.09889e-03	1.57470e-02	1.27620e-09	-4.65667e-09
8.67362e+01	6.55689e+01	2.00062e+01	6.85532e+01	1.39522e-02	4.25707e-03	1.45872e-02	9.65373e-10	-3.11568e-09
5.42101e+01	7.04802e+01	2.46226e+01	7.46574e+01	1.26451e-02	4.41761e-03	1.33945e-02	7.42580e-10	-2.09542e-09
3.38813e+01	7.62416e+01	3.08828e+01	8.22589e+01	1.12675e-02	4.56406e-03	1.21567e-02	5.82112e-10	-1.41823e-09
2.11758e+01	8.30042e+01	3.95661e+01	9.19521e+01	9.81697e-03	4.67951e-03	1.08752e-02	4.66115e-10	-9.66064e-10
1.32349e+01	9.10097e+01	5.17393e+01	1.04689e+02	8.30402e-03	4.72086e-03	9.55213e-03	3.80952e-10	-6.62733e-10
8.27181e+00	1.00423e+02	6.92717e+01	1.21997e+02	6.74734e-03	4.65432e-03	8.19691e-03	3.18776e-10	-4.57526e-10
5.16988e+00	1.11692e+02	9.48177e+01	1.46511e+02	5.20332e-03	4.41719e-03	6.82540e-03	2.72709e-10	-3.18367e-10
3.23117e+00	1.24929e+02	1.32787e+02	1.82317e+02	3.75843e-03	3.99485e-03	5.48495e-03	2.38696e-10	-2.22772e-10
2.01948e+00	1.40235e+02	1.90214e+02	2.36319e+02	2.51105e-03	3.40598e-03	4.23156e-03	2.13703e-10	-1.56429e-10
1.26218e+00	1.57500e+02	2.78449e+02	3.19906e+02	1.53898e-03	2.72082e-03	3.12591e-03	1.95522e-10	-1.09891e-10
1.00000e+00	1.66989e+02	3.39773e+02	3.78591e+02	1.16506e-03	2.37055e-03	2.64137e-03	1.89024e-10	-9.23441e-11
