m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 |Sig| [S/cm]	Rspec.[Ohms cm]	Tan(Delta)  	 Delta [  Deg]	Tan(Phi)  	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+05	2.04473e-06	1.32370e+07	3.59920e-02	2.06130e+00	-2.77839e+01	-8.79387e+01	1.15837e-11	-4.16920e-13
6.25000e+04	1.29073e-06	1.78295e+07	4.23527e-02	2.42518e+00	-2.36113e+01	-8.75748e+01	1.16934e-11	-4.95246e-13
3.90625e+04	8.16098e-07	2.34886e+07	5.08819e-02	2.91280e+00	-1.96534e+01	-8.70872e+01	1.18212e-11	-6.01483e-13
2.44141e+04	5.17750e-07	3.04076e+07	6.20165e-02	3.54874e+00	-1.61247e+01	-8.64513e+01	1.19870e-11	-7.43395e-13
1.52588e+04	3.29689e-07	3.92300e+07	7.55971e-02	4.32317e+00	-1.32280e+01	-8.56768e+01	1.21954e-11	-9.21940e-13
9.53674e+03	2.11006e-07	5.08937e+07	9.12223e-02	5.21223e+00	-1.09622e+01	-8.47878e+01	1.24645e-11	-1.13704e-12
5.96046e+03	1.35802e-07	6.68017e+07	1.08248e-01	6.17809e+00	-9.23805e+00	-8.38219e+01	1.28042e-11	-1.38603e-12
3.72529e+03	8.79113e-08	8.89933e+07	1.25885e-01	7.17492e+00	-7.94378e+00	-8.28251e+01	1.32236e-11	-1.66465e-12
2.32831e+03	5.72742e-08	1.20175e+08	1.43563e-01	8.16975e+00	-6.96557e+00	-8.18303e+01	1.37386e-11	-1.97236e-12
1.45519e+03	3.74841e-08	1.64304e+08	1.61029e-01	9.14774e+00	-6.21007e+00	-8.08523e+01	1.43341e-11	-2.30820e-12
9.09495e+02	2.46572e-08	2.26069e+08	1.78629e-01	1.01279e+01	-5.59818e+00	-7.98721e+01	1.50262e-11	-2.68411e-12
5.68434e+02	1.62835e-08	3.11898e+08	1.96928e-01	1.11406e+01	-5.07801e+00	-7.88594e+01	1.58067e-11	-3.11278e-12
3.55271e+02	1.08019e-08	4.28296e+08	2.17312e-01	1.22604e+01	-4.60169e+00	-7.77396e+01	1.66899e-11	-3.62691e-12
2.22045e+02	7.20032e-09	5.82965e+08	2.41040e-01	1.35521e+01	-4.14869e+00	-7.64479e+01	1.76876e-11	-4.26343e-12
1.38778e+02	4.82838e-09	7.83575e+08	2.69589e-01	1.50876e+01	-3.70935e+00	-7.49124e+01	1.88251e-11	-5.07505e-12
8.67362e+01	3.26181e-09	1.03587e+09	3.05118e-01	1.69679e+01	-3.27742e+00	-7.30321e+01	2.01312e-11	-6.14237e-12
5.42101e+01	2.22311e-09	1.34666e+09	3.49354e-01	1.92571e+01	-2.86242e+00	-7.07429e+01	2.16390e-11	-7.55969e-12
3.38813e+01	1.53305e-09	1.71788e+09	4.05066e-01	2.20512e+01	-2.46874e+00	-6.79488e+01	2.34079e-11	-9.48173e-12
2.11758e+01	1.07263e-09	2.14539e+09	4.76676e-01	2.54860e+01	-2.09786e+00	-6.45140e+01	2.54842e-11	-1.21477e-11
1.32349e+01	7.64421e-10	2.62500e+09	5.68503e-01	2.96184e+01	-1.75901e+00	-6.03816e+01	2.79420e-11	-1.58851e-11
8.27181e+00	5.57627e-10	3.13700e+09	6.89801e-01	3.45980e+01	-1.44969e+00	-5.54020e+01	3.08321e-11	-2.12680e-11
5.16988e+00	4.19199e-10	3.66692e+09	8.48918e-01	4.03285e+01	-1.17797e+00	-4.96715e+01	3.42921e-11	-2.91112e-11
3.23117e+00	3.26501e-10	4.18943e+09	1.06290e+00	4.67466e+01	-9.40819e-01	-4.32534e+01	3.83559e-11	-4.07686e-11
2.01948e+00	2.64838e-10	4.67939e+09	1.35640e+00	5.36006e+01	-7.37248e-01	-3.63994e+01	4.30552e-11	-5.83999e-11
1.26218e+00	2.24288e-10	5.11452e+09	1.76793e+00	6.05061e+01	-5.65632e-01	-2.94939e+01	4.83560e-11	-8.54902e-11
1.00000e+00	2.10375e-10	5.29032e+09	2.03470e+00	6.38271e+01	-4.91473e-01	-2.61729e+01	5.12695e-11	-1.04318e-10
