m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Ls'' [H]	  |L| [H]	M Temp [K]	M Time M[s]	M AcV' [Vrms]	M AcV'' [Vrms]	M |AcV| [Vrms]	M DcVol [V]
1.00000e+05	-7.86029e-03	2.18531e-01	3.05908e+02	5.32995e+00	1.00940e+00	0.00000e+00	1.00940e+00	0.00000e+00
6.25000e+04	-2.34446e-02	5.54052e-01	3.05940e+02	7.83970e+00	1.00869e+00	0.00000e+00	1.00869e+00	0.00000e+00
3.90625e+04	-7.12688e-02	1.40248e+00	3.05995e+02	9.83855e+00	1.00874e+00	0.00000e+00	1.00874e+00	0.00000e+00
2.44141e+04	-2.19022e-01	3.53846e+00	3.06105e+02	1.22205e+01	1.00643e+00	0.00000e+00	1.00643e+00	0.00000e+00
1.52588e+04	-6.70553e-01	8.89540e+00	3.06147e+02	1.47147e+01	1.00620e+00	0.00000e+00	1.00620e+00	0.00000e+00
9.53674e+03	-2.02147e+00	2.22518e+01	3.06196e+02	1.72165e+01	1.00552e+00	0.00000e+00	1.00552e+00	0.00000e+00
5.96046e+03	-5.95781e+00	5.53600e+01	3.06237e+02	1.97204e+01	1.00490e+00	0.00000e+00	1.00490e+00	0.00000e+00
3.72529e+03	-1.71046e+01	1.36948e+02	3.06310e+02	2.17177e+01	1.00632e+00	0.00000e+00	1.00632e+00	0.00000e+00
2.32831e+03	-4.78410e+01	3.36657e+02	3.06357e+02	2.40890e+01	1.00490e+00	0.00000e+00	1.00490e+00	0.00000e+00
1.45519e+03	-1.30983e+02	8.23894e+02	3.06403e+02	2.58994e+01	1.00226e+00	0.00000e+00	1.00226e+00	0.00000e+00
9.09495e+02	-3.52780e+02	2.00619e+03	3.06430e+02	2.84100e+01	1.00161e+00	0.00000e+00	1.00161e+00	0.00000e+00
5.68434e+02	-9.40201e+02	4.86605e+03	3.06467e+02	3.09082e+01	1.00253e+00	0.00000e+00	1.00253e+00	0.00000e+00
3.55271e+02	-2.49522e+03	1.17502e+04	3.06506e+02	3.29100e+01	1.00217e+00	0.00000e+00	1.00217e+00	0.00000e+00
2.22045e+02	-6.61688e+03	2.82376e+04	3.06559e+02	3.53284e+01	1.00292e+00	0.00000e+00	1.00292e+00	0.00000e+00
1.38778e+02	-1.75588e+04	6.74570e+04	3.06618e+02	3.71470e+01	1.00203e+00	0.00000e+00	1.00203e+00	0.00000e+00
8.67362e+01	-4.66853e+04	1.59971e+05	3.06660e+02	3.89669e+01	1.00295e+00	0.00000e+00	1.00295e+00	0.00000e+00
5.42101e+01	-1.24021e+05	3.76042e+05	3.06672e+02	4.13923e+01	1.00302e+00	0.00000e+00	1.00302e+00	0.00000e+00
3.38813e+01	-3.28020e+05	8.73708e+05	3.06733e+02	4.34369e+01	1.00307e+00	0.00000e+00	1.00307e+00	0.00000e+00
2.11758e+01	-8.60974e+05	2.00091e+06	3.06786e+02	4.53131e+01	1.00310e+00	0.00000e+00	1.00310e+00	0.00000e+00
1.32349e+01	-2.22357e+06	4.49914e+06	3.06831e+02	4.72236e+01	1.00311e+00	0.00000e+00	1.00311e+00	0.00000e+00
8.27181e+00	-5.61210e+06	9.88369e+06	3.06847e+02	5.19853e+01	1.00311e+00	0.00000e+00	1.00311e+00	0.00000e+00
5.16988e+00	-1.36350e+07	2.10687e+07	3.06956e+02	5.46864e+01	1.00311e+00	0.00000e+00	1.00311e+00	0.00000e+00
3.23117e+00	-3.15682e+07	4.33433e+07	3.07105e+02	5.97596e+01	1.00311e+00	0.00000e+00	1.00311e+00	0.00000e+00
2.01948e+00	-6.89019e+07	8.56031e+07	3.07195e+02	6.34119e+01	1.00313e+00	0.00000e+00	1.00313e+00	0.00000e+00
1.26218e+00	-1.40906e+08	1.61885e+08	3.07251e+02	6.77013e+01	1.00313e+00	0.00000e+00	1.00313e+00	0.00000e+00
1.00000e+00	-1.95577e+08	2.17921e+08	3.07285e+02	7.24417e+01	1.00315e+00	0.00000e+00	1.00315e+00	0.00000e+00
