m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	M AcA' [Arms]	M AcA'' [Arms]	M |AcA| [Arms]	M DcCur [A]	  Vce [V]	    dV [V]	   Vh [V]	   Vl [V]
1.00000e+05	2.64422e-07	7.34667e-06	7.35143e-06	0.00000e+00	 00000000	 00000000	 00000000	 00000000
6.25000e+04	1.96173e-07	4.63189e-06	4.63604e-06	0.00000e+00	 00000000	 00000000	 00000000	 00000000
3.90625e+04	1.48916e-07	2.92670e-06	2.93049e-06	0.00000e+00	 00000000	 00000000	 00000000	 00000000
2.44141e+04	1.14769e-07	1.85062e-06	1.85418e-06	0.00000e+00	 00000000	 00000000	 00000000	 00000000
1.52588e+04	8.89375e-08	1.17647e-06	1.17982e-06	0.00000e+00	 00000000	 00000000	 00000000	 00000000
9.53674e+03	6.85088e-08	7.51009e-07	7.54127e-07	0.00000e+00	 00000000	 00000000	 00000000	 00000000
5.96046e+03	5.21622e-08	4.81877e-07	4.84692e-07	0.00000e+00	 00000000	 00000000	 00000000	 00000000
3.72529e+03	3.92104e-08	3.11478e-07	3.13937e-07	0.00000e+00	 00000000	 00000000	 00000000	 00000000
2.32831e+03	2.89954e-08	2.01969e-07	2.04040e-07	0.00000e+00	 00000000	 00000000	 00000000	 00000000
1.45519e+03	2.11522e-08	1.31357e-07	1.33049e-07	0.00000e+00	 00000000	 00000000	 00000000	 00000000
9.09495e+02	1.53631e-08	8.60055e-08	8.73668e-08	0.00000e+00	 00000000	 00000000	 00000000	 00000000
5.68434e+02	1.11457e-08	5.65978e-08	5.76848e-08	0.00000e+00	 00000000	 00000000	 00000000	 00000000
3.55271e+02	8.11370e-09	3.73367e-08	3.82081e-08	0.00000e+00	 00000000	 00000000	 00000000	 00000000
2.22045e+02	5.96547e-09	2.47489e-08	2.54577e-08	0.00000e+00	 00000000	 00000000	 00000000	 00000000
1.38778e+02	4.43426e-09	1.64482e-08	1.70354e-08	0.00000e+00	 00000000	 00000000	 00000000	 00000000
8.67362e+01	3.35734e-09	1.10034e-08	1.15042e-08	0.00000e+00	 00000000	 00000000	 00000000	 00000000
5.42101e+01	2.58271e-09	7.39281e-09	7.83097e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
3.38813e+01	2.02469e-09	4.99842e-09	5.39292e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
2.11758e+01	1.62128e-09	3.40122e-09	3.76787e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
1.32349e+01	1.32507e-09	2.33081e-09	2.68114e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
8.27181e+00	1.10881e-09	1.60743e-09	1.95277e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
5.16988e+00	9.48572e-10	1.11739e-09	1.46573e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
3.23117e+00	8.30265e-10	7.81129e-10	1.13996e-09	0.00000e+00	 00000000	 00000000	 00000000	 00000000
2.01948e+00	7.43342e-10	5.48027e-10	9.23521e-10	0.00000e+00	 00000000	 00000000	 00000000	 00000000
1.26218e+00	6.80102e-10	3.84688e-10	7.81360e-10	0.00000e+00	 00000000	 00000000	 00000000	 00000000
1.00000e+00	6.57516e-10	3.23151e-10	7.32635e-10	0.00000e+00	 00000000	 00000000	 00000000	 00000000
