m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	  Awe [A]	R dV/Awe [Ohm]	R dV/Awe [Ohm]	 Eps'    	 Eps'    	 Eps'    	 Eps'    	 Eps'    
1.00000e+05	 00000000	 00000000	 00000000	3.77290e+01	3.77290e+01	3.77290e+01	3.77290e+01	3.77290e+01
6.25000e+04	 00000000	 00000000	 00000000	3.80864e+01	3.80864e+01	3.80864e+01	3.80864e+01	3.80864e+01
3.90625e+04	 00000000	 00000000	 00000000	3.85026e+01	3.85026e+01	3.85026e+01	3.85026e+01	3.85026e+01
2.44141e+04	 00000000	 00000000	 00000000	3.90429e+01	3.90429e+01	3.90429e+01	3.90429e+01	3.90429e+01
1.52588e+04	 00000000	 00000000	 00000000	3.97216e+01	3.97216e+01	3.97216e+01	3.97216e+01	3.97216e+01
9.53674e+03	 00000000	 00000000	 00000000	4.05981e+01	4.05981e+01	4.05981e+01	4.05981e+01	4.05981e+01
5.96046e+03	 00000000	 00000000	 00000000	4.17046e+01	4.17046e+01	4.17046e+01	4.17046e+01	4.17046e+01
3.72529e+03	 00000000	 00000000	 00000000	4.30706e+01	4.30706e+01	4.30706e+01	4.30706e+01	4.30706e+01
2.32831e+03	 00000000	 00000000	 00000000	4.47479e+01	4.47479e+01	4.47479e+01	4.47479e+01	4.47479e+01
1.45519e+03	 00000000	 00000000	 00000000	4.66873e+01	4.66873e+01	4.66873e+01	4.66873e+01	4.66873e+01
9.09495e+02	 00000000	 00000000	 00000000	4.89415e+01	4.89415e+01	4.89415e+01	4.89415e+01	4.89415e+01
5.68434e+02	 00000000	 00000000	 00000000	5.14839e+01	5.14839e+01	5.14839e+01	5.14839e+01	5.14839e+01
3.55271e+02	 00000000	 00000000	 00000000	5.43605e+01	5.43605e+01	5.43605e+01	5.43605e+01	5.43605e+01
2.22045e+02	 00000000	 00000000	 00000000	5.76101e+01	5.76101e+01	5.76101e+01	5.76101e+01	5.76101e+01
1.38778e+02	 00000000	 00000000	 00000000	6.13151e+01	6.13151e+01	6.13151e+01	6.13151e+01	6.13151e+01
8.67362e+01	 00000000	 00000000	 00000000	6.55689e+01	6.55689e+01	6.55689e+01	6.55689e+01	6.55689e+01
5.42101e+01	 00000000	 00000000	 00000000	7.04802e+01	7.04802e+01	7.04802e+01	7.04802e+01	7.04802e+01
3.38813e+01	 00000000	 00000000	 00000000	7.62416e+01	7.62416e+01	7.62416e+01	7.62416e+01	7.62416e+01
2.11758e+01	 00000000	 00000000	 00000000	8.30042e+01	8.30042e+01	8.30042e+01	8.30042e+01	8.30042e+01
1.32349e+01	 00000000	 00000000	 00000000	9.10097e+01	9.10097e+01	9.10097e+01	9.10097e+01	9.10097e+01
8.27181e+00	 00000000	 00000000	 00000000	1.00423e+02	1.00423e+02	1.00423e+02	1.00423e+02	1.00423e+02
5.16988e+00	 00000000	 00000000	 00000000	1.11692e+02	1.11692e+02	1.11692e+02	1.11692e+02	1.11692e+02
3.23117e+00	 00000000	 00000000	 00000000	1.24929e+02	1.24929e+02	1.24929e+02	1.24929e+02	1.24929e+02
2.01948e+00	 00000000	 00000000	 00000000	1.40235e+02	1.40235e+02	1.40235e+02	1.40235e+02	1.40235e+02
1.26218e+00	 00000000	 00000000	 00000000	1.57500e+02	1.57500e+02	1.57500e+02	1.57500e+02	1.57500e+02
1.00000e+00	 00000000	 00000000	 00000000	1.66989e+02	1.66989e+02	1.66989e+02	1.66989e+02	1.66989e+02
