m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=1.000e+05  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	R dV/Awe [Ohm]	 Eps'    	|Modulus| 	 Zs'' [Ohms]	M Temp [K]	M Time M[s]
3.05908e+02	3.77290e+01	1.35795e+00	 00000000	3.77290e+01	2.64876e-02	-1.37218e+05	3.05908e+02	5.32995e+00
3.07376e+02	3.77715e+01	1.37613e+00	 00000000	3.77715e+01	2.64574e-02	-1.37059e+05	3.07376e+02	7.50361e+01
3.08698e+02	3.78064e+01	1.39502e+00	 00000000	3.78064e+01	2.64325e-02	-1.36928e+05	3.08698e+02	1.42094e+02
3.09890e+02	3.78451e+01	1.41687e+00	 00000000	3.78451e+01	2.64050e-02	-1.36783e+05	3.09890e+02	2.09097e+02
3.10972e+02	3.78859e+01	1.43816e+00	 00000000	3.78859e+01	2.63760e-02	-1.36630e+05	3.10972e+02	2.76029e+02
3.12096e+02	3.79308e+01	1.46276e+00	 00000000	3.79308e+01	2.63442e-02	-1.36462e+05	3.12096e+02	3.47085e+02
3.13009e+02	3.79729e+01	1.48598e+00	 00000000	3.79729e+01	2.63144e-02	-1.36305e+05	3.13009e+02	4.14409e+02
3.13937e+02	3.80179e+01	1.51101e+00	 00000000	3.80179e+01	2.62826e-02	-1.36137e+05	3.13937e+02	4.84906e+02
3.14700e+02	3.80598e+01	1.53468e+00	 00000000	3.80598e+01	2.62531e-02	-1.35981e+05	3.14700e+02	5.52008e+02
3.15405e+02	3.80998e+01	1.55830e+00	 00000000	3.80998e+01	2.62249e-02	-1.35832e+05	3.15405e+02	6.18948e+02
3.16081e+02	3.81399e+01	1.58221e+00	 00000000	3.81399e+01	2.61967e-02	-1.35682e+05	3.16081e+02	6.86028e+02
3.16696e+02	3.81768e+01	1.60387e+00	 00000000	3.81768e+01	2.61709e-02	-1.35545e+05	3.16696e+02	7.53092e+02
3.17277e+02	3.82126e+01	1.62588e+00	 00000000	3.82126e+01	2.61457e-02	-1.35412e+05	3.17277e+02	8.19409e+02
3.17818e+02	3.82478e+01	1.64736e+00	 00000000	3.82478e+01	2.61211e-02	-1.35282e+05	3.17818e+02	8.85524e+02
3.18261e+02	3.82807e+01	1.66807e+00	 00000000	3.82807e+01	2.60981e-02	-1.35159e+05	3.18261e+02	9.51532e+02
3.18669e+02	3.83111e+01	1.68853e+00	 00000000	3.83111e+01	2.60768e-02	-1.35046e+05	3.18669e+02	1.01760e+03
3.19172e+02	3.83424e+01	1.70745e+00	 00000000	3.83424e+01	2.60550e-02	-1.34930e+05	3.19172e+02	1.08391e+03
3.19530e+02	3.83701e+01	1.72673e+00	 00000000	3.83701e+01	2.60356e-02	-1.34827e+05	3.19530e+02	1.15017e+03
3.19823e+02	3.83976e+01	1.74424e+00	 00000000	3.83976e+01	2.60165e-02	-1.34726e+05	3.19823e+02	1.21632e+03
3.20198e+02	3.80359e+01	1.69972e+00	 00000000	3.80359e+01	2.62647e-02	-1.36016e+05	3.20198e+02	1.28190e+03
3.20552e+02	3.80677e+01	1.77667e+00	 00000000	3.80677e+01	2.62404e-02	-1.35878e+05	3.20552e+02	1.34947e+03
3.20866e+02	3.82243e+01	1.93324e+00	 00000000	3.82243e+01	2.61279e-02	-1.35270e+05	3.20866e+02	1.41678e+03
3.21230e+02	3.84715e+01	1.87318e+00	 00000000	3.84715e+01	2.59625e-02	-1.34426e+05	3.21230e+02	1.48412e+03
3.21571e+02	3.85156e+01	1.85012e+00	 00000000	3.85156e+01	2.59336e-02	-1.34280e+05	3.21571e+02	1.55161e+03
3.21809e+02	3.85411e+01	1.85635e+00	 00000000	3.85411e+01	2.59163e-02	-1.34190e+05	3.21809e+02	1.61883e+03
3.22203e+02	3.85670e+01	1.85864e+00	 00000000	3.85670e+01	2.58988e-02	-1.34099e+05	3.22203e+02	1.68600e+03
3.22514e+02	3.85881e+01	1.87359e+00	 00000000	3.85881e+01	2.58842e-02	-1.34021e+05	3.22514e+02	1.75333e+03
3.22862e+02	3.86090e+01	1.88829e+00	 00000000	3.86090e+01	2.58697e-02	-1.33944e+05	3.22862e+02	1.82065e+03
3.23224e+02	3.86305e+01	1.90246e+00	 00000000	3.86305e+01	2.58549e-02	-1.33865e+05	3.23224e+02	1.88785e+03
3.23546e+02	3.86529e+01	1.91865e+00	 00000000	3.86529e+01	2.58394e-02	-1.33782e+05	3.23546e+02	1.95518e+03
3.23882e+02	3.86746e+01	1.93353e+00	 00000000	3.86746e+01	2.58245e-02	-1.33703e+05	3.23882e+02	2.02241e+03
3.24273e+02	3.86963e+01	1.94949e+00	 00000000	3.86963e+01	2.58096e-02	-1.33623e+05	3.24273e+02	2.08803e+03
3.24632e+02	3.87180e+01	1.96494e+00	 00000000	3.87180e+01	2.57946e-02	-1.33543e+05	3.24632e+02	2.15365e+03
3.25073e+02	3.87409e+01	1.98108e+00	 00000000	3.87409e+01	2.57788e-02	-1.33458e+05	3.25073e+02	2.21915e+03
3.25518e+02	3.87649e+01	1.99860e+00	 00000000	3.87649e+01	2.57623e-02	-1.33370e+05	3.25518e+02	2.28641e+03
3.25942e+02	3.87901e+01	2.01637e+00	 00000000	3.87901e+01	2.57450e-02	-1.33277e+05	3.25942e+02	2.35353e+03
3.26529e+02	3.88170e+01	2.03604e+00	 00000000	3.88170e+01	2.57266e-02	-1.33179e+05	3.26529e+02	2.42097e+03
3.27082e+02	3.88443e+01	2.05584e+00	 00000000	3.88443e+01	2.57078e-02	-1.33078e+05	3.27082e+02	2.48747e+03
3.27707e+02	3.88737e+01	2.07718e+00	 00000000	3.88737e+01	2.56877e-02	-1.32971e+05	3.27707e+02	2.55464e+03
3.28317e+02	3.89045e+01	2.10069e+00	 00000000	3.89045e+01	2.56666e-02	-1.32857e+05	3.28317e+02	2.62186e+03
3.29013e+02	3.89379e+01	2.12534e+00	 00000000	3.89379e+01	2.56438e-02	-1.32735e+05	3.29013e+02	2.68919e+03
3.29669e+02	3.89723e+01	2.15126e+00	 00000000	3.89723e+01	2.56202e-02	-1.32609e+05	3.29669e+02	2.75623e+03
3.30482e+02	3.90102e+01	2.17898e+00	 00000000	3.90102e+01	2.55944e-02	-1.32470e+05	3.30482e+02	2.82341e+03
3.31346e+02	3.90500e+01	2.20926e+00	 00000000	3.90500e+01	2.55673e-02	-1.32325e+05	3.31346e+02	2.89020e+03
3.32138e+02	3.90927e+01	2.24156e+00	 00000000	3.90927e+01	2.55383e-02	-1.32169e+05	3.32138e+02	2.95716e+03
3.33058e+02	3.91369e+01	2.27561e+00	 00000000	3.91369e+01	2.55083e-02	-1.32007e+05	3.33058e+02	3.02348e+03
3.34076e+02	3.91853e+01	2.31284e+00	 00000000	3.91853e+01	2.54754e-02	-1.31831e+05	3.34076e+02	3.09000e+03
3.35062e+02	3.92357e+01	2.35192e+00	 00000000	3.92357e+01	2.54413e-02	-1.31647e+05	3.35062e+02	3.15571e+03
3.36108e+02	3.92895e+01	2.39410e+00	 00000000	3.92895e+01	2.54050e-02	-1.31451e+05	3.36108e+02	3.22143e+03
3.37178e+02	3.93437e+01	2.44676e+00	 00000000	3.93437e+01	2.53680e-02	-1.31250e+05	3.37178e+02	3.28710e+03
3.38379e+02	3.93832e+01	2.53394e+00	 00000000	3.93832e+01	2.53391e-02	-1.31082e+05	3.38379e+02	3.35274e+03
3.39534e+02	3.94483e+01	2.58242e+00	 00000000	3.94483e+01	2.52955e-02	-1.30847e+05	3.39534e+02	3.41831e+03
3.40690e+02	3.94161e+01	2.71498e+00	 00000000	3.94161e+01	2.53104e-02	-1.30894e+05	3.40690e+02	3.48211e+03
3.41891e+02	3.95136e+01	2.75583e+00	 00000000	3.95136e+01	2.52464e-02	-1.30556e+05	3.41891e+02	3.54605e+03
3.43241e+02	3.95831e+01	2.81688e+00	 00000000	3.95831e+01	2.51996e-02	-1.30300e+05	3.43241e+02	3.61005e+03
3.44534e+02	3.96773e+01	2.87432e+00	 00000000	3.96773e+01	2.51375e-02	-1.29967e+05	3.44534e+02	3.67772e+03
3.45872e+02	3.97739e+01	2.92584e+00	 00000000	3.97739e+01	2.50744e-02	-1.29631e+05	3.45872e+02	3.74103e+03
3.47247e+02	3.98744e+01	2.97832e+00	 00000000	3.98744e+01	2.50091e-02	-1.29282e+05	3.47247e+02	3.80439e+03
3.48485e+02	3.99765e+01	3.02690e+00	 00000000	3.99765e+01	2.49433e-02	-1.28932e+05	3.48485e+02	3.86599e+03
3.49739e+02	4.00697e+01	3.09156e+00	 00000000	4.00697e+01	2.48825e-02	-1.28604e+05	3.49739e+02	3.92750e+03
